44:15:001:1	Jerusalem gwizhit Nihłaa Łigiiljil
44:15:021:0	Deenaa dąį' gwats'an Neegwaazhii Drin gwiteegwagwaanchy'aa , kwaiik'it goodlii kwaii gwizhit , Jews nąįį tr'igiinkhii zheh gwizhit Moses va-law daantł'oo , Ąįį k'it teech'iriginkhii . ” James gavahnyąą .
44:15:022:0	Ąįįtł'ęę Tr'ihił'e' ts'ą' ch'anjaa gwik'injiighit kįh dilk'ii nąįį , ąįįts'ą' Jesus k'injigiighit nąįį datthak haa dinjii neekwąįį gwintł'oo googihił'ee nąįį adats'an agwarahahkyaa , giindhan . Ąįįtł'ęę Paul ts'ą' Barnabas , ąįį nąįį haa Antioch kwaiik'it gwachoh gwats'ą' nagoorahahchyaa , googoonyąą . Dinjii neekwąįį gavoozhri' Judas ąįį Barsabbas chan oozhii , Silas oozhii eegwagwiiłkįį , Jesus k'injigiighit eenjit ch'anjaa kįh nilįį nąįį tee gwats'an tr'agoogahchįį .
44:15:023:0	Dęhtły'aa danakhwatł'oo giveenagahtsuu . Izhit jyąhts'ą' ch'adagąąntł'oo , “ Tr'ihił'e' , ts'ą' ch'anjaa gwik'injiighit kįh dilk'ii , ąįį gah Jesus k'injigiighit nąįį tr'inlii . Datthak ts'ą' Antioch gwizhit gohch'įį nąįį , Syria nahkat , ąįįts'ą' Cilicia nahkat gwich'įį nąįį , ch'adanh nahkat diik'it Jesus k'injigiighit nąįį ǫhłįį haa diich'eet'igwiindhan nakhwaa oolį' .
44:15:024:0	Gwehkįį dąį' , dzaa diitee gwats'an dinjii nąįį nakhwatee t'inchy'aa . Ąįį nąįį gwinzii geenakhwagahtan kwaa ts'ą' deeginyąą gwinzii goovaakhwandaii kwaa haa nats'ahts'ą' ninjich'ahohthat gaa gaakhwandaii kwaa gwinyąą gwiriitth'ak . Jyaa dohnyąą goorahnyąą t'igii'in kwaa .
44:15:025:0	Jyaa danakhwagahnyąą geh'an , dinjii neekwąįį nąįį diitee gwats'an agwarahahkyaa , gwiindhan nihłaa łiriiljil . Ąįį nąįį nakhwats'ą' narahahchyaa diilak Paul ts'ą' Barnabas haa gihee'al .
44:15:026:0	Diik'eegwaadhat Jesus Christ eenjit gwitr'it t'agwagwah'in geh'an . Izhik gwa'an gwinlęįį khaiinjii gooriiłkhwąįį .
44:15:027:0	Dinjii neekwąįį nąįį nakhwats'ą' narąhchįį , gavoozhri' Judas , ts'ą' Silas haa goozhii . Jii dęhtły'aa nakhwats'ą' tr'adąąntł'oo . Izhit jidii eenjit daraantł'oo datthak nakhwaa gwagwahaandak geenjit .
44:15:028:0	Jidii law lęįį nakhweenjit vagwantrii datthak nakhwats'an tr'ahahtsyaa kwaa , gąą jidii law vat'oohchy'aa , ąįį zhrįh nakhwats'an tr'ahahtsyaa . Jyąhts'ą' gwizhrįh nakhweenjit gweheezyaa . Ch'anky'aa Shroodiinyąą k'iighai' jyąhts'ą' ‘t'igwehee'yaa , ’ gwinyąą .
44:15:029:0	Jidii shih ch'ik'itiltsį' ts'ą' ataiinjii nilįį ąįįts'ą' ch'eekaii ąįįts'ą' gąą ch'atthąįį tr'iiłkhwąįį vadaa vats'an anrahtsii kwaa , ąįį nilįį oh'aa shrǫ' ! Juu veedhoodii kwaa , ąįį haa chan nagahoh'aa kwaa ! Jii kwaii datthak t'akhwa'in kwaa ji' , łyaa gwinzii t'ahokhwa'yaa . K'eegwaadhat nakhwaa oolį' . ” googahnyąą . Jyąhts'ą' goots'ą' ch'agadąąntł'oo .
44:15:030:0	Ąįįtł'ęę ąįį Jesus k'injigiighit nąįį Antioch kwaiik'it gwats'ą' gahaajil . Ąįįts'ą' zhat juu Jesus k'injigiighit nąįį datthak haa łigiiljil . Ąįįtł'ęę dęhtły'aa goots'ą' tr'adąąntł'oo givintł'eegąhtsuu .
44:15:031:0	Ąįį dinjii nąįį nijin dęhtły'aa goots'ą' tr'adąąntł'oo gaah'ya' dąį' , łyaa gwintł'oo shoo ginlii ts'ą' goot'aii neegwigwiłtsąįį .
44:15:032:0	Judas , ts'ą' Silas haa Vit'eegwijyąhchy'aa Eenjit Ginkhii ginlii . Łyaa niighyuk gavaa giginkhii . Jyąhts'ą' t'aih goots'an gahtsii ts'ą' gahąąnjat kwaa geenjit .
44:15:033:0	Shriit'ahkhyuk zhat gindi' tł'ęę , “ Juu dząą gwats'ą' nidiinaahchįį , ąįį nąįį k'iinjik ts'eerehee'al . ” ginyąą . “ Vit'eegwijyąhchy'aa veenjit khaihłak gohtsii ts'ą' tsinehdan haa neehakhwa'oo ts'ą' gwinzii nakhwak'ǫǫhtii ! ” googahnyąą .
44:15:034:0	Gaa Silas , k'iinjik neehihdyaa kwaa ts'ą' zhat gwihihchy'aa , yiindhan .
44:15:003:1	Paul ts'ą' Barnabas Haa Nihłihłęęgahoo'oo
44:15:035:0	Gąą Paul ts'ą' Barnabas haa zhat Antioch tth'aii hee gwigwich'įį . Geedan chan ts'ą' juu Jesus k'injigiighit lęįį nąįį haa zhat dinjii geegǫąąhtan . Ąįįts'ą' K'eegwaadhat viginjik eenjit gavaa gwagwaandak .
44:15:036:0	Ąįįtł'ęę shriht'agwahthee gwandaa' , “ Nijin gwa'an kwaiik'it gwizhit K'eegwaadhat viginjik haa tr'iginkhe' chy'ąą izhik neegoorǫǫ'yą' . Zhat gwa'an gwik'injigwiighit nąįį neeroo'ya' , nats'ąą deegii'in li' geenjit . ” Paul , ąįį Barnabas jyaa dahnyąą .
44:15:037:0	Barnabas , John Mark shaa hoozhi' , yiindhan ,
44:15:038:0	gąą Paul łyaa gweheezyaa kwaa , yiindhan , Pamphylia nahkat dąį' , k'iinjik goots'į' neehoozhii geh'an . Digwigwitr'it gigiheendal gwats'ą' datthak goots'iinyą' kwaa geh'an .
44:15:039:0	Ąįį geenjit gwint'aii ch'ats'ą' t'inihłagaiinyą' . Ąįį geh'an nihłihłęęgahoo'oo . Barnabas ąįį Mark adahaahiłchįį . Ąįįts'ą' tr'ihchoo haa Cyprus njuu kat gwats'ą' gahaa'oo .
44:15:040:0	Ąįįtł'ęę Paul ąįį Silas adahaa hiłchįį , “ Vit'eegwijyąhchy'aa nich'eegǫǫnzhrii haa gwinzii nakhwak'ǫǫhti' ! ” juu zhat Jesus k'injigiighit nąįį jyaa ginyąą ts'ą' khagideedi' tł'ęę Paul ts'ą' Silas haa gahaa'oo .
44:15:041:0	Syria nahkat ąįįts'ą' Cilicia nahkat gwa'an datthak k'eegaa'oo . Juu zhat gwa'an tr'igiinkhii zheh nineedal nąįį łyaa gook'iighai' nint'aii neegaadlit .
