44:22:001:0	“ Shalak nąįį , dząą nakhwandaa ideenjit gihihkhyaa , gwinzii shoodǫǫhk'įį ! ” gavahnyąą .
44:22:022:0	Dinjii datthak łyaa gwinzii Paul goots'ą' ginkhii goołk'įį . Gąą nijin Israel gwich'in nilįį kwaa nąįį eeginkhii dąį' , datthak ch'agoołk'įį kwaa nagaanaii ts'ą' gazhral , “ Gihłeehohchįį dohkhwąįį . Łyaa gwahkwaa dinjii jii k'it t'inchy'aa nąįį gwandaii ! ” ginyąą ts'ą' gazhral .
44:22:023:0	Nihk'it gazhral ts'ą' digi'ik haa oodak nagahdaii ąįįts'ą' łųh zhet'angahtł'ak , łyaa shoo ginlii kwaa ts'ąįį t'igii'in .
44:22:024:0	Nijin niveet'ah'in kįh dhidii choh gwąąh'in dąį' , diniveet'ah'in nąįį ts'ą' azhral , “ Niveet'ah'in zheh nihdǫhchįį ąįįts'ą' viitrii haa ohtrii . Duulee jaghaii Jews nąįį giiyeenjit azhral diinaa gwahaandak ! ” gavahnyąą .
44:22:025:0	Nijin giiyahahtrii eenjit digiiyiłchaa dąį' , tł'ęę veeghaii niveet'ah'in kįh dhidii tsal nadhat ąįį t'ahnyąą , “ Roman gwa-law zhit , Roman gwats'an inlii ji' tth'aii hee ch'aroahkat zheh gwizhit naraahkat kwaa gwiizhit duuyeh narahtrii goo'aii gwinyąą lee t'oonchy'aa ? ”
44:22:026:0	Nijin gwiitth'ak dąį' , niveet'ah'in choh kįh dhidii ts'ą' haazhii , “ Deeni'in t'ini'in ? Jii dinjii Roman nilįį nyąą vaanandaii ? ” niveet'ah'in kįh dhidii tsal yahnyąą .
44:22:027:0	Ąįįtł'ęę niveet'ah'in kįh dhidii choh Paul ts'ą' niinzhii , “ Nan lee Roman inlii ? ” Paul ahnyąą . “ Aahą' , Roman ihłįį t'ihchy'aa . ” Paul yahnyąą .
44:22:028:0	“ Gwintł'oo goiihkwat ts'ą' Roman gwich'in dhiidlit . ” niveet'ah'in Paul ahnyąą . “ Gąą shįį ąįį Roman gwich'in ihłii , shiti' Roman gwich'in nilįį geh'an . ” Paul yahnyąą .
44:22:003:1	Nijin Paul Jews Ch'anjaa K'eedeegwaadhat Nąįį Ęhdaa Nadhat Dąį'
44:22:029:0	Ąįįtł'ęę ąįį dinjii geeghaih niilzhii nąįį Paul gahahtrii gąą ch'ijuk ts'ąįį gwagwaah'in ts'ą' giiyiiłęęhoojil . Niveet'ah'in kįh choh gaa yiiłęęhoozhii , Roman nilįį yiky'anjik geh'an . ‘Tr'ahahtrii eenjit , ch'iitsii tły'ah haa dihiłchaa , ’ geh'an naajat .
44:22:030:0	Niveet'ah'in kįh dhidii choh , łyaa Jews nąįį Paul dee'ya' ginyąą geenjit gwinzii gaashoondaii niindhan . Jii geh'an gęhdaa drin Paul deenin'at . Ąįį gah giinkhih kįh dilk'ii nąįį , Jews ch'anjaa k'eedeegwaadhat nąįį haa nihłaa łagoojyaa , yiindhan . Ąįįtł'ęę nijin nihłaa łigiiljil dąį' , Paul goots'ą' hiłchįį ts'ą' goovęhdaa nadhat yiłtsąįį .
