44:8:001:1	Saul , Jesus K'injigiighit Nąįį Khaiinjich'ahkhit
44:8:020:0	Gąą Peter łyaa gwint'aii yits'ą' ginkhii , “ Jidii Vit'eegwijyąhchy'aa gwit'ii gwakwaa dinjii antł'eeyinlii , ąįį oohihkwat , niindhan geenjit nan ts'ą' nalaraa haa nijin hohk'an ( hell ) ąįį gwats'ą' hohjyaa !
44:8:021:0	Nidrii zhit Vit'eegwijyąhchy'aa doo'ya' noonyąą , ąįį gwik'it t'ini'in geet'iindhan kwaa geh'an , diigwitr'it zhit k'eegwiichy'aa duuyeh diinaa gwini'įį t'oonchy'aa .
44:8:022:0	Natr'agwaanduu gwats'an łihts'eedaa'ee . Vit'eegwijyąhchy'aa natr'agwaanduu oo'an gweheelyaa geenjit , vats'ą' khadigiinjii nats'ahts'ą' ninjich'indhat , ąįį gwik'it t'ini'yaa kwaa geenjit .
44:8:023:0	Nidrii zhit gwats'an ch'izhii dinjii jidii di'įį łyaa viyiindhan ts'ą' natr'agwaanduu chan noontą' k'it t'oonchy'aa . ”
44:8:024:0	“ Nakhwan ąįį K'eegwaadhat sheenjit vats'ą' khagadǫhjii , nats'ąą shats'ą' deegweheenjyaa shohnyąą , gwik'it t'igweheenjyaa kwaa eenjit . ” Simon , Peter , ts'ą' John haa ahnyąą .
44:8:003:1	Philip , Dinjii Ethiopia Gwats'an Ahaa , Adąązhii
44:8:025:0	Nijin Peter , ts'ą' John haa K'eegwaadhat ginjik eenjit dinjii haa gwagwaandak , tł'ęę k'iinjik Jerusalem gwits'ee gahoo'oo . K'iinjik neegee'al gwiizhit Samaria nahkat gwa'an an-nihłik kwaiik'it goodlii gehgoo gogoh'oo dąį' , izhik Gwandak Nizįį eenjit dinjii nąįį haa gwagwaandak .
44:8:026:0	Ąįįtł'ęę K'eegwaadhat zheekat gwich'in ch'ihłak Philip ts'ą' ginkhii , “ Shreedaanjii tł'ęę , Jerusalem gwats'an Gaza kwaiik'it gwats'ą' tąįį gwin'ee gwats'ą' hinkhaii . ” yahnyąą . ( Ąįį tąįį nangwinjir gwatł'an k'ii'an gwi'ęę . )
44:8:027-028:0	Ąįįtł'ęę Philip shriidąązhik ts'ą' ąįį tąįį gwinjik haazhii . Ethiopia gwats'an dinjii eunuch nilįį ąįį Ethiopia nahkat gwats'ą' tr'injaa k'eedeegwaadhat choh va'at nilįį Queen Candace oozhii eenjit laraa k'ąąhtii nilįį ąįį Eunuch , khał vitł'ee neekwąįį łits'eedaadhal dhidlii zhit łąįį choh ( horses ) yeelil gwiizhik Vit'eegwijyąhchy'aa Eenjit Ginkhii nilįį Isaiah vidęhtły'aa kat ginkhii .
44:8:029:0	Ch'anky'aa Shroodiinyąą Philip dahnyąą , “ Oo'ak khał ts'ą' niinkhaii ts'ą' veeghaii nahgǫǫ inkhaa . ”
44:8:030:0	Ąįįtł'ęę gwagwahkhan Philip gwats'ą' hilgit ts'ą' gwizhit dinjii dhidii ąįį Vit'eegwijyąhchy'aa Eenjit Ginkhii Isaiah oozhii gwadąąntł'oo kat ginkhii gwiitth'ak . Philip yuahkat , “ Jidii kat ginkhii deegwinyąą lee goonandaii ? ” yahnyąą .
44:8:031:0	“ Ch'ihłee deegwinyąą t'igwinyąą shaa gwaandak kwaa gwiizhik , nats'ahts'ą' deegwinyąą t'igwinyąą gaahashandaii ? Dząą , deedhinkhaii ts'ą' sheeghaii dhindii . ” Philip ahnyąą .
44:8:032:0	Dęhtły'aa Choh kat ginkhii ts'ą' jyaa nyąą , “ Divii tr'oonjik , tr'ahaahkhwaa geenjit , ąįį k'it gihłeetr'ihiłchįį dąį' hahchįį kwaa . Divii vaghai' kharit'ii dąį' ąįį k'it hahchįį kwaa . Jii dinjii jyaa dinchy'aa , deegwahtsii gwiizųų giits'ą' t'ii'in , googaa k'eegwiichy'aa t'iinyą' kwaa .
44:8:033:0	Dinjii iizųų nilįį k'it giits'ą' t'ee'ya' , gąą łyaa dinjii nizįį inli' . Tr'agwaanduu t'ee'ya' kwaa . Juu vineezhyaadijii nąįį eegwahaandak ? Ninghyuk kwaagwizhrįh jii nankak gweheendaii , ąįį geh'an . ” jyaa gwiinyą' .
44:8:034:0	“ Jii vakat giihkhii , nik'ee duulee geeshaagwaandak ? Jii juu dinjii dee Vit'eegwijyąhchy'aa Eenjit Ginkhii nilįį Vit'eegwijyąhchy'aa deenyąą geeginkhii ? Ideeginkhii ? Gąą yee'an dinjii eenjit ginkhii lee t'inyąą ? ” jyaa Philip ahnyąą .
44:8:035:0	Ąįįtł'ęę Philip jidii Vit'eegwijyąhchy'aa viginjik kat ginkhii eenjit geeyaagwihelndak , Ąįįtł'ęę Gwandak Nizįį Jesus eenjit yaagwaandak .
44:8:036:0	Tąįį gwinjik łąįį choh gavahchyaa gwa'an , chųų gąąh'in . “ Zhik chųų nah'in , nik'ee duulee chųų shats'an ąhtsii ? ” Philip ahnyąą .
44:8:037:0	“ Aahą' , gwintł'oo gwik'injinghit ji' , chųų nats'an hałtsyaa . ” Philip yahnyąą . “ Łyaa gwik'injihkhit ! Jesus Christ Vit'eegwijyąhchy'aa Vidinji' nilįį gwik'injihkhit ! ” ąįį dinjii Philip ahnyąą .
44:8:038:0	Ąįįtł'ęę ąįį dinjii , łąįį choh khał neehahkhal ąįį ‘Akǫ' t'ee ! ’ ahnyąą . Ąįįtł'ęę ąįį dinjii ts'ą' Philip haa chųų zhit teegin'oo ts'ą' Philip chųų yats'an iłtsąįį .
44:8:039:0	Nijin chųų ts'an teeneegee'oo dąį' , Ch'anky'aa Shroodiinyąą k'iighai' khants'ą' Philip k'igwaanaii . Izhik gwats'an Philip naan'yą' kwaa , ts'ą' gwintł'oo vizhit shoo dha'aii haa danahkat gwats'ą' needyaa .
44:8:040:0	Googwahkhan Philip Azotus kwaiik'it vigwiilkįį . Izhik gwats'an Caesarea kwaiik'it k'eeheedik gwats'ą' , zhit kwaiik'it goodlii datthak gwitee haazhii , ts'ą' Vit'eegwijyąhchy'aa Vagwandak Nizįį eegwaandak .
