44:21:001:1	Paul Jerusalem gwats'ą' Haazhii
44:21:011:0	Ąįį diineek'idik ts'ą' . Paul tthah daazhat tł'an giłchaa Agabus yats'an tr'iinlii . Ąįįtł'ęę danli' , ts'ą' dakwai' haa yaa tł'andich'iłchaa . “ Jerusalem gwizhit Jews nąįį nanli' , ts'ą' nakwai' haa jyąhts'ą' tł'andich'igahahchaa . Ąįįtł'ęę Israel gwich'in nilįį kwaa nąįį antł'eenagahahchyaa t'igiinchy'aa . Ch'anky'aa Shroodiinyąą shaagwaandak . ” Paul ahnyąą .
44:21:012:0	Nijin diikhwan dinjii nąįį tr'inlii tr'igwiitth'ak dąį' , “ Chan Jerusalem gwits'ee hoonizhi' shrǫ' ! ” vats'ą' tr'iik'it ts'ą' t'avarahnyąą .
44:21:013:0	“ Jaghaii ohtree ts'ą' shidrii zhit tr'igwidii shats'an ohtsii ? K'eegwaadhat Jesus veenjit , Jerusalem gwizhit nashaghwaarehee'aa ts'ą' sharahaahkhwaa ji' googaa geenjit tr'iilęįį ihłii t'oonchy'aa ! ” Paul diinahnyąą .
44:21:014:0	Łyaa Jerusalem gwats'ą' , heekhaa kwaa tr'ihiłtsąįį gaa , gwiizųų , ts'ą' , “ K'eegwaadhat deeyiindhan gwik'it gooli' ! ” varaiinyą' .
44:21:015:0	Ąįįtł'ęę shriit'ahkhyuk zhat tr'aak'į' . Ąįįtł'ęę diigwadal datthak , tr'iheedaa geenjit nizįį tr'iłtsąįį . Ąįįtł'ęę Jerusalem gwats'ą' tr'ahaajil .
44:21:002:1	Nijin Paul James Eenihkhee Dąį'
44:21:016:0	Caesarea gwats'an Jesus k'injigiighit lat nąįį chan diihaa gahaajil . Dinjii , Mnason oozhii , vizheh gwats'ą' diigahaadlii zhat gwireheechy'aa geenjit . Cyprus njuu kat gwats'an nilįį . Łyaa ninghyuk adan t'ee Jesus k'injigiighit nilįį . Ąįį vaa tr'igwich'įį .
44:21:017:0	Nijin Jerusalem k'eeriidal dąį' , zhat Jesus k'injigiighit nąįį łyaa diigąąh'in , gooveenjit gwinzii .
44:21:018:0	Gęhdaa drin Paul James hąąh'yaa gwats'ą' vaa tr'ahaajil . Izhik juu Jesus k'injigiighit nąįį datthak ts'ą' ch'anjaa gwik'injiighit kįh dilk'ii nihłaa łigiiljil .
44:21:019:0	Paul goovah'in shoo nilįį haa goovanli' oonjik . Ąįįtł'ęę Israel gwich'in nilįį kwaa nąįį jidii geegoovołtin gwik'iighai' Vit'eegwijyąhchy'aa dee'ya' , datthak geenjit gavaa gwaandak .
44:21:020:0	Nijin giiyiitth'ak dąį' , datthak Vit'eegwijyąhchy'aa deegihiił'ee . Ąįįtł'ęę giits'ą' ginkhii , “ Diichaa , dząą łyaa gwintł'oo Jews lęįį nąįį Jesus k'injigiighit dhidlit . Ąįį gaanandaii . ‘Nats'ąą Moses deegwehee'yaa , diinahnyąą , ąįį dinjii datthak gwik'it t'ihee'yaa goo'aii , ’ ginyąą . Tr'igwiitth'ak .
44:21:021:0	Łyaa Jews nąįį datthak Israel gwich'in nilįį kwaa nahkat dilk'ii nąįį jyąhts'ą' eech'ǫąąhtan nagahnyąą , ‘Moses va-law k'it gwigweheendaii gishrigwąąhchy'aa kwaa , ’ gavaiinyą' . Ąįį gąą chan jyaa dagavaiinyą' , ‘Digigii nąįį tthąį' kat khangwagwahaht'ii ts'ą' googwagwahaahkyaa , ąįįts'ą' chan Jews nąįį dee'in ąįį gwik'it t'akhwa'in gwat'oohchy'aa kwaa , ’ gavaiinyą' . Ąįį datthak neenjit gwiriitth'ak t'oonchy'aa .
44:21:022:0	Nijin dząą k'indik gwigwiitth'ak ji' nats'ąą deegwehee'yaa ?
44:21:023:0	Nats'ahts'ą' deehini'yaa , narahnyąą , gwik'it t'ini'in ji' , łyaa gweheezyaa . Juk dząą diitee dinjii dǫǫ nąįį Vit'eegwijyąhchy'aa ts'ą' neech'idigiin'ąįį chy'ąą . Ąįį jidii eenjit neech'idigiin'ąįį łyaa gooroonjii , giindhan .
44:21:024:0	Jii dinjii nąįį goovoiinjii ts'ą' gavaa shroodiinyąą adantsii ts'ą' giit'aahchy'aa datthak eenjit goiinkwat ąįįtł'ęę digiki' kal gwagwahahtsyaa gwizhrįh . Jii kwaii gwik'iighai' juu nąįį datthak , oots'it kwaa haa neegiginkhii t'igwinyąą ts'ą' Moses va-law k'it gwiindaii t'ini'in naagiheendaii .
44:21:025:0	Ch'adąį' hee Israel gwich'in nilįį kwaa nąįį Jesus k'injigiighit dhidlit nąįį , ts'ą' dęhtły'aa narąąhtsuu . Izhit jyaa dagooraiinyą' . Ch'ik'itiltsį' ts'ą' shih ataiinjii gaa gihee'aa kwaa . Ch'eekaii ąįįts'ą' ch'atthąįį tr'iiłkhwąįį vadaa anrahtsii kwaa , ąįį kwaii gihee'aa kwaa . Ąįį gąą tr'injaa eegaadii , ąįį zhrįh haa giheechyaa goo'aii . ” jii datthak Paul jyaa gavahnyąą .
44:21:003:1	Jews Kharigidiinjii Zheh gwizhit Paul Tr'oonjik
44:21:026:0	Ąįįtł'ęę Paul dinjii dǫǫ nąįį oonjik ts'ą' gęhdaa drin gavaa shroodiinyąą idiiltsąįį . Ąįįtł'ęę Kharigidiinjii Zheh gwizhit nihdeiinzhii , ts'ą' ataiinjii ąhtsii haa gwaandak . “ Drin 7 gęhdaa tr'igwiheedhaa gwiizhik datthak nin Vit'eegwijyąhchy'aa ts'ą' ataiinjii tr'ahahtsyaa , eenjit tr'iheeghaa goo'aii . ” nyąą .
44:21:027:0	Khaiinjii drin 7 gehtł'eegoodhat dąį' , Jews lat nąįį Asia nahkat gwats'an Kharigidiinjii Zheh gwizhit Paul gąąh'in . Ąįįts'ą' gwintł'oo gazhral haa , dinjii nąįį shoo nilįį kwaa ginghan . Ąįįtł'ęę Paul gąąhtsit ,
44:21:028:0	ts'ą' gazhral haa jyaa diginyąą , “ Israel Gwich'in nąįį diits'ohnyaa ! Jii dinjii t'ee nihky'aa datthak neehidik ts'ą' Jews nąįį ts'ą' Moses va-law ts'ą' Diikharigidiinjii zheh haa gwinehts'į' geech'ǫąąhtan , ąįįts'ą' juk dzaa Diikharigidiinjii zheh gwizhit Israel gwich'in nilįį kwaa nąįį nihdeiinlii , jyąhts'ą' shroodiinyąą kwaa gwahtsii t'ii'in . ”
44:21:029:0	Jerusalem gwizhit dinjii , Trophimus oozhii , Paul haa gąąh'in . Ephesus kwaiik'it gwachoh gwats'an Israel gwich'in nilįį kwaa nilįį . Paul Kharigidiinjii Zheh gwizhit nihdeeyąąhchįį , giiyuunyąą . Ąįį geh'an łyaa gwintł'oo gazhral . Gąą Paul gwizhit nihdeeyąąhchįį kwaa .
44:21:030:0	Kwaiik'it gwachoh gwizhit juu nąįį datthak deegwii'in gaagiindaii kwaa ts'ą' khaihłan nagalgahjil , izhik Paul gąąhtsit ts'ą' chigiihaatsik . Googwahkhan Kharigidiinjii Zheh gindeiinvyaa gits'ooghaii gineegidiintin .
44:21:031:0	Ąįįts'ą' giihaahkhwaa gwik'eegwagwandaii . Gaa dinjii lat nąįį zhat Roman niveet'ah'in kįh dhidii choh ts'ą' galgihiłjil . “ Dinjii datthak Jerusalem gwizhit nihłiighan ! ” giiyahnyąą .
44:21:032:0	Khants'ą' vats'ąįį k'eedeegwaadhat dhidii ąįįts'ą' niveet'ah'in lat nąįį oonjik . Ąįį haa zhat dinjii nihłiighan , gwats'ą' gahaajil . Nijin dinjii nąįį niveet'ah'in nigiił'in dąį' , Paul gaahkhwąįį akhagagoonyąą .
44:21:033:0	Roman niveet'ah'in kįh dhidii ąįį Paul ts'ą' haazhii ts'ą' yuunjik ts'ą' niveet'ah'in nąįį ch'iitsii tły'ah neekwąįį haa naghwaagiiyin'ąįį , ąįįtł'ęę goovahkat , “ Jii juu dinjii t'inchy'aa ? Nats'ahts'ą' deezhik ? ” dinjii nąįį ahnyąą .
44:21:034:0	Gąą dinjii datthak gwintł'oo gazhral ts'ą' nihłee'ijuk t'iginyąą . Ąįį geh'an niveet'ah'in kįh dhidii choh deegwiizhik t'igwinyąą , gaandaii kwaa . Ts'ą' “ Niveet'ah'in zheh gwats'ą' hohchįį ! ” diniveet'ah'in nąįį ahnyąą .
44:21:035:0	Nijin niveet'ah'in zheh gwats'ą' deeriltąįį , izhik nigiinjil dąį' , dinjii nąįį “ Tr'oonjii ! ” giiyuunyąą eenjit gwits'į' dehthat hee giiyahchyaa .
44:21:004:1	Paul Ideenjit Ginkhii
44:21:036:0	Datthak khaihłan nigijyaa , giihoondal gwik'eegwagwandaii eenjit , “ Dohkhwąįį ! ” gwintł'oo gazhral haa ginyąą .
44:21:037:0	Khaiinjii łyaa nihdeegiiyąąhchįį gwiizhik , Paul niveet'ah'in kįh dhidii choh ts'ą' khagiinkhee , “ Nik'ee duulee gwintsal naa giihkhii ? ” yahnyąą . “ Greek ky'aa ginkhii ? ” Paul ahnyąą .
44:21:038:0	“ Ąįį Egypt gwats'an dinjii ch'ihłee ch'adąį' gwanaa , nihłireheeghaa eenjit dinjii lat nąįį khaihłan niinlii . Ąįįtł'ęę niveet'ah'in 4000 oonjik ts'ą' nijin nangwinjir gwa'an gwats'ą' goohaadlii . Ąįį nan inlii kwaa lee , t'inchy'aa ? ” Paul ahnyąą .
44:21:039:0	“ Jews ihłįį . Tarsus kwaiik'it gwachoh gwizhit shagoodlit , Cilicia nahkat gwizhit . Ąįį nahkat kwaiik'it ch'andaa t'agwahtsii gwihił'ee , goo'aii izhik gwizhit . Ąįįts'ą' juk łyaa dinjii nąįį haa goiihkhyaa , nihthan . ” jyaa Paul yahnyąą .
44:21:040:0	“ Akwat khan goots'ą' ginkhii . ” niveet'ah'in choh kįh dhidii yahnyąą . Ąįįts'ą' Paul geeriltąįį gwakat k'iidąą nadhat ts'ą' dinjii nąįį ts'ą' danli' haa needahdaii , deegweheentsai' kwaa eenjit . Ąįįtł'ęę nijin deegwintsai' kwaa goodlit dąį' , khai' googinjik , Jews ginjik t'ee Hebrew nilįį ąįį haa goots'ą' ginkhii .
