44:5:001:1	Ananias , ts'ą' Va'at Sapphira Haa Googwandak
44:5:029:0	Peter ąįįts'ą' ch'izhii Tr'ihił'e' nąįį haa jyaa googahnyąą , “ Vit'eegwijyąhchy'aa , deeni'in diinahnyąą gwizhrįh gwik'it t'igwehee'yaa goo'aii ! ts'ą' dinjii nąįį , ch'ijuk t'akhwa'in diinahnyąą , duuyeh gwik'it t'igwii'in t'oonchy'aa !
44:5:030:0	Jesus cross kat gadhohtsak ts'ą' dǫǫhkhwąįį . Ąįįtł'ęę diitsii nąįį , Goovit'eegwijyąhchy'aa , digii Jesus neegwiindaii niłtsąįį .
44:5:031:0	Ąįįtł'ęę ndak deeyihiłchįį ts'ą' dishriits'ąįį niyąąhchįį . Vit'eegwijyąhchy'aa , Diik'eegwaadhat yiłtsąįį , diitr'agwaanduu gwats'an neediihahshii heelyaa geenjit . Israel gwich'in nąįį , tr'agwaanduu t'igii'in gwats'an łihts'eedigiheedaa ts'ą' gootr'agwaanduu oo'an gweheelyaa geenjit .
44:5:032:0	Vit'eegwijyąhchy'aa dinjii yik'eegwahthat nąįį Ch'anky'aa Shroodiinyąą ts'an iłtsąįį , diikhwan Ch'anky'aa Shroodiinyąą k'iighai' łi'deegwidlii haa deegwiizhik gwarąąh'yą' geegwaraandak . ” t'igwinyąą .
44:5:033:0	Jii k'eedeegwaadhat nąįį deegwinyąą gwigwiintth'ak dąį' , gwint'aii gook'įį goodlit ts'ą' Tr'ihił'e' nąįį ęhdaa tr'agaroo'aa ginyąą .
44:5:034:0	Gąą goots'an dinjii ch'ihłak Pharisee nąįį ts'an nilįį , Gamaliel oozhii . Jews nąįį eenjit Law eech'ǫąąhtan nilįį . Dinjii datthak giihił'ee . K'eedeegwaadhat nąįį tee nidhikhin ts'ą' goots'ą' khaginkhee , “ Ch'ihłee chineegavǫhłii ! ” goovahnyąą .
44:5:035:0	Ąįįts'ą' chineegoogiinlii tł'ęę k'eedeegwaadhat nąįį ts'ą' ginkhii , “ Shalak Israel nąįį , jii dinjii nąįį goots'ą' deekhwa'yaa izhik gwak'ǫǫhtii .
44:5:036:0	Ninghit kwaa gwanaa dąį' dinjii , Theudas oozhii , gwiindaii dąį' , ‘łyaa dinjii nitsii ihłii . ’ adaanyąą . Ąįįts'ą' dinjii 400 nąįį giiyaa niinjil . Ąįįtł'ęę tr'eełkhwąįį . Vitsyaa nąįį datthak shrihteegaajil . Jidii t'ee'ya' datthak ndaagwąąn'ąį' , ąįį zhit ganoondaii .
44:5:037:0	Ąįįtł'ęę Rome nahkat dinjii tr'eechyaa gwanaa dąį' , Galilee nahkat gwats'an dinjii k'ii'an tr'agwah'in Judas oozhii , ąįį chan dinjii lęįį yaa haajil . Jii dinjii chan tr'iiłkhwąįį . Ąįįts'ą' vitsyaa nąįį datthak chan shrihteegaajil .
44:5:038:0	Jii geh'an jii dinjii nąįį gwik'it t'igihee'yaa kwaa gavohtsii ji' gwiizųų . Dagakhai' dagat'aii haa t'igii'in ji' , geedan t'ee shrihteegiheedaa t'igiinchy'aa .
44:5:039:0	Gąą Vit'eegwijyąhchy'aa vat'aii k'iighai' t'igii'in łee ji' , duuyeh gwik'it t'igii'in kwaa goorahtsii t'igiinchy'aa . Vit'eegwijyąhchy'aa ts'ą' nich'itsarahthat t'igwii'in łee gwik'eegahaandal t'oonchy'aa . ” jyaa gavahnyąą . Ąįįtł'ęę deenyąą giihaa gwik'it t'iindhan .
44:5:040:0	Ąįįtł'ęę Tr'ihił'e' nąįį nihdineegiinlii . Viitrii haa goorahahtrii goots'an gwigwiłtsąįį . “ Chan Jesus voozhri' eeneegohkhyaa shrǫ' ! ” łyaa gwint'aii googahnyąą , ts'ą' gooneegiinjik .
44:5:041:0	Nijin k'eedeegwaadhat nąįį łeeljil gwats'an tr'ineegiijil dąį' , Jesus voozhri' zhit khaiinjich'agooriłthat geenjit shoo giinlii .
44:5:042:0	Ąįįtł'ęę drin gwiteegogwąąnchy'aa ąįį Kharigidiinjii Zheh ąįįts'ą' nihłi'adan zheh gwizhit Jesus adan t'ee dinjii neehahshii t'inchy'aa ginyąą ts'ą' eech'agǫąąhtan .
