43:14:001:1	ATaa' bich'į' Jesus honít'i'ii nilį́
43:14:019:0	Koshídę́ę́' hadziih, áko nihokáá' dine'é doo náádashoot'į́į da doo, nidi nihí t'éiyá dashooh'į́į doo; hinishnánígíí bąą nihí ałdó' dahinohnáa doo. 
43:14:020:0	Áko éí beiníłką́ądi shiTaa' bii' honishłónígíí, áádóó shii' dahonohłónígíí, índa nihii' dahonishłónígíí nihił béédahodoozįįł. 
43:14:021:0	Bee nahoséł'áanii hoł bééhózingo bik'eh hojíł'íinii éí ayóó'áshijó'ní, áko ayóó'áshijó'nínígíí éí shiTaa' ayóó'áhó'níi doo, shí ałdó' ayóó'áhósh'níi doo, áko hach'į' ádééhodeeszįįł. 
43:14:022:0	Júdas (doo Iskáriyat wolyée daígíí) áhodííniid, Bóhólníihii, ha'át'éegoshą' nihí t'éiyá nihich'į' ádééhodíílzįįł, nidi nihokáá' dine'é éí dooda? 
43:14:023:0	Jesus ánááhodoo'niid, Diné ła' ayóó'áshó'níigo, éí shizaad bik'eh hojíł'į́į doo, áko shiTaa' ayóó'áhó'níi doo, áko haa diikahgo hoł kéédahwiit'į́į dooleeł. 
43:14:024:0	T'áá háiida doo ayóó'áshó'nínígíí, éí shizaad doo yik'eh hół'į́į da; saad dadoohts'a'ii éí doo shí shizaad át'ée da, nidi aTaa' shiníł'a'ii éí bizaad át'é. 
43:14:025:0	Díí t'áá ałtso t'ah nihił naashkaidą́ą́', bee nihił hashne'. 
43:14:026:0	Nidi Áká Análwo'ii, Níłch'i Diyinii nilíinii, t'áá éí aTaa' shízhi' yee yidooł'aałígíí, éí t'áá ałtsoní yínanihiniłtin doo, áádóó t'áá ałtso bee nihich'į' hahásdzí'ígíí béédaałniihgo ánihósin doo. 
43:14:027:0	Nihich'į' hózhǫ́ǫ le', shibee ił hózhǫ́ nihaa dinish'aah; doo nihokáá' dine'é aa deidiyii'aahígi át'éego nihaa dinish'aah da. T'áadoo nihijéí bii' nihíni' daałání, índa t'áadoo nídaałdzidí. 
43:14:028:0	Nihiníyá, índa áádę́ę́' nihaa náádeeshdááł, nihidishnínígíí dashidoots'ą́ą́'. Ayóó'ádashíínóh'níigo, aTaa' bich'į' déyáhígíí baa nihił dahózhǫ́ǫ doo nít'éé', háálá shiTaa' shiláahgo át'é. 
43:14:029:0	Díí t'ah doo áhánééhgóó k'ad bee nihił hweeshne', ákódzaago, da'iidoohdląął. 
43:14:030:0	Kodóó doo lą'ígóó nihich'į' yánáádeeshtih da, háálá nahasdzáán yinanit'a'í nilíinii k'adę́ę yíghááh. Éí doo shee ádíhólníih da, 
43:14:031:0	nidi t'áá aTaa' áshidííniidígi át'éego ááshnííł, áko nihokáá' dine'é aTaa' ayóó'óósh'níigo bił béédahózin doo. Sołtį', dah didiikah.
