43:6:001:1	Diné ashdladi mííl yilt'éego ba'íltsood
43:6:028:0	Áko ádahodííniid, Haashą' deiit'į́įgo t'éí Diyin God naanish yaa bił hózhóonii baa neiikai doo? 
43:6:029:0	Jesus ánááhodoo'niid, Diyin God yiníł'a'ii deinohdlą́ągo baa dadzíínóhłíigo éí naanish Diyin God bił hóshǫ́. 
43:6:030:0	Áko ánáádahodoo'niid, Ha'át'íishą' nibee adziilii bee bééhózinii ádíílíiłgo, dadíníil'įįłgo daniidiidląął? Ha'át'íísh ádíílííł? 
43:6:031:0	Danihizhé'é yę́ę honoojíigi mána dayííyą́ą́'; t'áá bee ak'e'ashchínígi át'éego, Yá'ąąshdę́ę́' bááh baz'níłtsood. 
43:6:032:0	Áko Jesus ánááhodoo'niid, T'áá aaníí, t'áá aaníígóó ánihidishní, Yá'ąąshdę́ę́' bááh éí doo Mózes niha'níłtsood da, nidi shiTaa' éí yá'ąąshdę́ę́' bááh t'áá aaníinii niha'iiłtsóód. 
43:6:033:0	Háálá bááh Diyin God bíhígíí éí yá'ąąshdę́ę́' hadahóóle'go nihokáá' dine'é iiná yeidii'aah. 
43:6:034:0	Áko ánáádahodi'ní, Bóhólníihii, t'áá áłahjį' díí bááh nihaná'íltso' doo. 
43:6:035:0	Jesus ánááhodoo'niid, Shí bááh bee iináanii nishłį́; shaazhníyáhígíí éí doo dichin náázhdoodleeł da, áádóó shijoodlą́ągo sheidzólíii éí doo dibáá' náázhdoodleeł da. 
43:6:036:0	Nidi ánihidííniid, Dashoołtsą́ą nidi t'ah doo da'oohdląąh da. 
43:6:037:0	ATaa' sheidii'aahígíí t'áá ałtso éí shaa hidookah; shaazhníyáhígíí éí t'áá íiyisí doo nówehjį' hodideeshniił da. 
43:6:038:0	Háálá doo t'áá shí íinisinígi át'éego ádeeshnííł biniyé yá'ąąshdę́ę́' hadááyáa da, nidi shiníł'a'ii íinízinígíí éí ádeeshnííł biniyé níyá; 
43:6:039:0	díí éí [aTaa'] shiníł'a'ii yee íinízinii át'é, éí t'áá ałtso shaazhnínilígíí doo ła' yóó'adeesht'eeł da, nidi niiníłką́ądi éí t'áá ałtso daneeznáádę́ę́' náádabidideeshjah. 
43:6:040:0	Háálá shiTaa' díí yee íinízinii át'é, éí t'áá aYe' jiiłtsánígíí áádóó joodlą́ągo beijólíhígíí, iiná doo ninít'i'ii hwee hólǫ́ǫ dooleeł, áko niiníłką́ądi dadziztsą́ą́dę́ę́' nááhodideeshłááł. 
43:6:041:0	Shí éí bááh yá'ąąshdę́ę́' hadahóóle'ígíí nishłį́, jinínígíí biniinaa Jew dine'é saad dahasłį́į́'. 
43:6:042:0	Áko ádadííniid, Da' díísh doo Jesus, Jóseph biye' át'į́į da? Bizhé'é áádóó bimá béédahoniilzin. Ha'át'éegoshą' áko k'ad, Shí yá'ąąshdę́ę́' hadááyá, jiní? 
43:6:043:0	Áko Jesus ánááhodoo'niid, T'áadoo shiniinaa ałch'į' nihiyi' nidahodi'ni'í. 
43:6:044:0	Diné doo ła' shaa doogáał da, aTaa' shiníł'a'ígíí shaa honílóozgo t'éiyá, áko niiníłką́ądi dadziztsą́ą́dę́ę́' nááhodideeshłááł. 
43:6:045:0	Diyin God yá dahalne'ii binaaltsoos yii' kódaaníigo yee ak'eda'ashchį́, Áko t'áá ádzíłtso Diyin God nidahodínóotįįł. T'ááłá'í nítínígo aTaa' deidiizts'ą́ą'go ídahooł'ą́'ígíí éí shaa hakááh. 
43:6:046:0	Ákondi éí diné ła' aTaa' nilíinii yiyiiłtsą́, doo dishníigo ádíshníi da, t'áá hazhó'ó Diyin God bits'ą́ą́dę́ę́' hojílónígíí t'éiyá, éí aTaa' jiiłtsą́. 
43:6:047:0	T'áá aaníí, t'áá aaníígóó ánihidishní, Shoodlą́ągo shaa dzólíhígíí éí iiná doo ninít'i'ii bee hólǫ́. 
43:6:048:0	Shí éí bááh bee iináanii nishłį́. 
43:6:049:0	Danihizhé'é yę́ę honoojíigi mána dayííyą́ą́', ákondi éí daneezná. 
43:6:050:0	Díí t'éiyá yá'ąąshdę́ę́' bááh hadahóóle'ígíí át'é, áko t'áá háiida éí yiyííyą́'ígíí doo dadootsaał da. 
43:6:051:0	Shí éí bááh hináanii yá'ąąshdę́ę́' hadahóóle'ii nishłį́; t'áá háiida díí bááh jiyánígíí hool'áágóó jiináa dooleeł, áko nihokáá' dine'é bááh yee hináa dooleełgo baa deesh'áłígíí éí shitsį'. 
43:6:052:0	Ákohgo Jew dine'é ałghada'dit'áahgo áda'ahidoo'niid, Hait'éegoshą' díí diné t'áá bí bitsį' niha'doołtsołgo dadiidį́į́ł? 
43:6:053:0	Áko Jesus áhodííniid, T'áá aaníí, t'áá aaníígóó ánihidishní, Diné Silį́į'ii bitsį' doo daoyą́ą́'góó áádóó bidił doo daohdlą́ą́'góogo, iiná doo nihee dahólǫ́ǫ da doo; 
43:6:054:0	t'áá háiida shitsį' jiyánígíí áádóó shidił jidlánígíí éí iiná doo ninít'i'ii hwee hólǫ́, áko niiníłką́ądi dadziztsą́ą́dę́ę́' nááhodideeshłááł. 
43:6:055:0	Háálá shitsį' éí t'áá aaníí yidą́ át'é, índa shidił t'áá aaníí yidlą́ át'é. 
43:6:056:0	T'áá háiida shitsį' jiyánígíí áádóó shidił jidlánígíí éí shiyi' hojílǫ́, áádóó bidiníná hayi' honishłǫ́. 
43:6:057:0	T'áá aTaa' hináanii shiníł'a'go aTaa' bee hinishnánígi át'éego, t'áá háiida shijííyą́'ígíí shee jiináa dooleeł. 
43:6:058:0	Díí yá'ąąshdę́ę́' bááh hadahóóle'ígíí át'é. Azhą́ danihizhé'é yę́ę mána dayííyą́ą' nidi daneezná. T'áá háiida díí bááh jííyą́'ígíí éí hool'áágóó jiináa dooleeł. 
43:6:005:1	Saad binahjį' iiná doo ninít'i'ii ee hodooleełii
43:6:059:0	Kapérniyamgi kin bii' áłah ná'ádleeh góne' nazh'nitingo díí bee hadziisdzíí'. 
43:6:060:0	Áko hódahooł'aahii éí deidiizts'ą́ą'go lą'í ádadííniid, Díí áhá'nínígíí t'áá íiyisí nantł'a; háísh ałdó' yiyíists'ą́ą' doo? 
43:6:061:0	Nidi Jesus éí hódahooł'aahii doo bił ákódaat'éégóó yaa nídaat'ínígíí doo jidiizts'ą́ą' da nidi hoł bééhoozingo ábizhdííniid, Díí saadísh bik'ee nidaałtal? 
43:6:062:0	Ákoshą' Diné Silį́į'ii áłtséédą́ą́' hólǫ́ǫ́ nít'é'í góde náádáałgo daołtsą́ągo haa yit'éego baa nitsídaahkees doo? 
43:6:063:0	Níłch'i Diyinii éí iiná eidii'aah, nidi ats'íís éí t'áadoo nídoodleełí da; saad bee nihich'į' hahásdzí'ígíí éí Níłch'i Diyinii bits'ą́ą́dóó bee iináanii át'é. 
43:6:064:0	Nidi nihí ła' doo da'iinohdlą́ą da. Háálá Jesus t'óó ha'níítą́ą́' yę́ędą́ą́' doo da'oodláanii bił bééhózin, índa diné nináhodidoo'áłígíí ałdó' bił bééhózin. 
43:6:065:0	Áko ázhdííniid, Díí biniinaa ánihidííniid, Diné doo ła' shaa doogáał da, shiTaa' hadi'ní'ą́ągo t'éiyá. 
43:6:066:0	Kódaadzaadóó bik'ijį' hódahooł'aahii lą'í hats'ánáhaazhjée'go t'áadoo hakéé' tánáádookai da. 
43:6:067:0	Áko Jesus éí naakits'áadahígíí bich'į' hadzoodzíi'go ábizhdííniid, Da' nihíísh ałdó' shits'ádoohjah? 
43:6:068:0	Sáíman Peter áhodííniid, Bóhólníihii, háísh ałdó' bich'į' dah náádidiikah? Ni t'éí saad binahjį' iiná doo ninít'i'ii hodooleełii nee hólǫ́, 
43:6:069:0	áko ni éí t'áá aaníí Diyin God hináanii biYe' Diyinii Christ nílį́įgo deisiidląąd. 
43:6:070:0	Jesus ánááhodoo'niid, Da' shíísh doo naakits'áadah nołt'éego nánihidiinil da, nidi ła' níłch'i bi'iiníziinii nohłį́? 
43:6:071:0	Éí Sáíman, Iskáriyat biye' nilíinii, Júdas ábijiní, háálá t'áá éí nináhodidoo'ááł, éí naakits'áadahígíí ła' atah nilį́.
