49:5:001:1	Adinídíínjí nidaakaígi át'éego dayínóhkááh
49:5:013:0	T'áá ałtsoní bida'diidlaadii éí yit'į́ neheleeh , háálá t'áá ałtsoní yit'į́ neheleehígíí éí adinídíín neheleeh .
49:5:014:0	Díí bąą kót'éego ha'oodzíí' , Ałhoshí nílíinii , ch'éénídzííd , dasínítsą́ą́dę́ę́' nídiidááh ! Áko Christ nik'i' diiłdíin doo .
49:5:015:0	Éí bąą ádaa ádahołyą́ągo hazhó'ó dayínóhkááh , diné doo dahóyáaniigi át'éego éí dooda , nidi dahonohsą́ągo dayínóhkááh .
49:5:016:0	Nihá ashja'ósinígíí ts'ídá hazhó'ó chodaoł'į́ , háálá doo yá'át'ééhgóó adeesdee' .
49:5:017:0	Éí bąą t'áadoo yíní ádahodołdiní , nidi Bóhólníihii íinízinii át'éegi bik'idadi'yohtįįh .
49:5:018:0	T'áadoo wáin áde daahdlání , háálá éí t'óó ádeena'a'né át'é , nidi Níłch'i Diyinii nihii' hadadeezbin le' .
49:5:019:0	Áádóó ałch'į' yádaałti'go Diyin God bizaad biyi'dóó sin , áádóó sin bee Diyin God baa ha'niihii , índa Níłch'i Diyinii bits'ą́ą́dę́ę́' sin nihijéí t'áá át'é bee Bóhólníihii baa dahohniihgo bich'į' dahohtaał .
49:5:020:0	T'áá áłahjį' nihiBóhólníihii Jesus Christ bízhi' bee Diyin God aTaa' bich'į' t'áá ałtsoní baa ahééh danohsin .
49:5:002:1	E'asdzą́ą́ áádóó ahastiin
49:5:021:0	Diyin God dadíínóhsingo ahídahwíínółnííh .
49:5:022:0	E'asdzą́ą́ danohłíinii , Bóhólníihii bídahwíínółníhígi át'éego nihahastiin bídahwíínółnííh .
49:5:023:0	Háálá ahastiin éí hwe'asdzą́ą́ bá atsii' jílį́ , t'áá Christ éí oodlání danilíinii t'áá ła' bizhi'ee yá atsii' nilínígi át'éego , jó , éí hats'íís át'éego t'áá hó yisdájiinííł .
49:5:024:0	Oodlání danilíinii Christ yídahółníhígi át'éego e'asdzą́ą́ ałdó' t'áá ałtsojį' hahastiin bóhojółníih doo .
49:5:025:0	Ahastiin danohłíinii , t'áá Christ éí oodlání danilíinii t'áá ła' bizhi'ee ayóó'áyó'níigo yá niná'ádeet'ánígi át'éego nihe'asdzą́ą́ ayóó'ádeínóh'ní .
49:5:026:0	Oodlání danilíinii t'áá ła' bizhi'ee hazaad bee jidoosį́į́ł biniyé tó bee táádzízgizgo baa'ihii bąąh nijííł'éél .
49:5:027:0	Áádóó baa'ihii bąąh ádingo ayóó ánóolningo , áádóó ts'ídá nizhónígo , índa diyingo t'áá íiyisí hadaałt'éego t'áá hó ádááhdę́ę́' nizhdoo'nił biniyé bá niná'ázhdeet'ą́ .
49:5:028:0	Ahastiin t'áá bí bits'íís ayóó'ádayó'nínígi át'éego be'asdzą́ą́ ayóó'ádayó'níi doo . Be'asdzą́ą́ ayóó'áyó'nínígíí t'áá bí ałdó' ayóó'í'dó'ní .
49:5:029:0	Jó , diné doo ła'da t'áá hó hats'íís jijoołáa da , nidi hats'íís bi'jiisą́ índa baa áhojilyą́ . T'áá éigi át'éego Christ éí oodlání danilíinii t'áá ła' bizhi'ee yaa áhályą́ ,
49:5:030:0	háálá nihí Christ bits'íís daniidlį́ [ bitsį' áádóó bits'in daniidlį́] .
49:5:031:0	Díí bąą diné jílíinii hazhé'é índa hamá bits'ą́ą́' dashdidoogáałgo hwe'asdzą́ą́ bił ahaazhdoot'ashgo bił ahił jii'náa doo , áko nizhdilt'é nít'é'ígíí ats'íís t'ááłá'í jidooleeł .
49:5:032:0	Díidí saad t'áá aaníinii , na'nitin doo bééhózin da yę́ę át'é , éí Christ índa oodlání danilíinii t'áá ła' bizhi'ee bił haz'ą́ągi ááhdishní .
49:5:033:0	Ákondi t'ááłá'í noozínígo ahastiin danohłíinii , ayóó'ádadíí'nóh'nínígi át'éego nihe'asdzą́ą́ ayóó'ádeínóh'ní , áádóó e'asdzą́ą́ jílíinii hahastiin hoł nilį́į doo .
