14:24:001:1	Jó'ash éí Júdah dine'é yinant'áá nít'éé'
14:24:011:0	Ákódzaago Líívai dine'é éí aláahgo naat'áanii bá nidaal'a'í tsits'aa' yaa nídei'áahgo áádóó béeso lą'í yileehgo dayiiłtséehgo aláahgo naat'áanii binaaltsoos ííł'íní índa aláahgo náá'iiłniihii bá naal'a'í yi'ashgo tsits'aa' bee béeso yááyii'áahgo si'ánígi ninéí'ááh. Kót'éego t'áá ákwíí jį́ béeso lą'í áłah áńdayiil'įįh nít'éé'. 
14:24:012:0	Áko aláahgo naat'áanii áádóó Jiihóíyada éí Bóhólníihii bikin bii' sohodizin yindadoolnishígíí yeinínil, áko tsé deitł'inígíí índa kin ádeił'íní éí Bóhólníihii bikin bii' sohodizin hasht'éédeidoodlííł biniyé shóyoost'e', áádóó ałdó' béésh índa béésh łitsoii yindaalnishígíí Bóhólníihii bikin bii' sohodizin hasht'éédeił'į́į doo biniyé shóyoost'e'. 
14:24:013:0	Kót'éego diné nidaalnishígíí nidaashnishgo yá'át'éehgo áńda'iidlaa, áko Bóhólníihii bikin bii' sohodizin t'áá át'é hasht'éédayiidlaa áádóó bidziilgo si'ą́ągo áńdayiidlaa. 
14:24:014:0	Áádóó ałtso nida'azhnishgo béeso ch'ínééłna'ígíí aláahgo naat'áanii áádóó Jiihóíyada yich'į' deizhjaa'; éí Bóhólníihii bikin bii' sohodizin góne' beedí chodao'íinii ádayiilaa; t'áá éí didlidgo náá'iiniihgi áádóó dilidgo łikání halchingo náá'iiniihgi chodao'ínígíí índa kin bii' sohodizin góne' chodao'íinii náádaała' béésh łigaii áádóó óola bee ádaalyaa. Áko nááda'iiłniihgo didlidgo nááhániihii Bóhólníihii bikin bii' sohodizin góne' t'áá áłahjį' Jiihóíyada náá'iiłniihgo nibíiníłką́. 
14:24:015:0	Nidi Jiihóíyada haastih, as'ah nibíiníłką́ągo daaztsą́; neeznádiindóó ba'aan tádiin binááhaigo daaztsą́. 
14:24:016:0	Áko David yę́ę bikin haal'áagi naat'áanii danilį́į́ nít'éé' yę́ę bitahjį' yóó'ádahoolaa, háálá Ízrel dine'é bikéyahgi Diyin God bá índa bikin bii' sohodizin bá yá'át'éehii ájiilaa. 
14:24:017:0	Jiihóíyada daaztsą́ą́dóó bik'ijį' Júdah dine'é binaat'áanii danilíinii yíkaigo aláahgo naat'áanii yich'į' yaa ádaadzaa. Ákohgo aláahgo naat'áanii hodiizts'ą́ą́'. 
14:24:018:0	Áko dahazhé'é yę́ę biBóhólníihii Diyin God bikin bii' sohodizin bits'ájíkaigo áádóó asdzání be'elyaii áádóó eda'alyaii bich'į' nidahojiłáá nít'éé', áádóó Júdah dine'é índa Jerúsalem dine'é díí doo ákǫ́ǫ́ ádáát'įįdígíí biniinaa bee atí'él'į́ hak'i hoole'. 
14:24:019:0	Ákót'ée nidi Diyin God yá dahalne'ii éí Bóhólníihii yich'į' ninádahodoo'ish biniyé ayiis'a', áko éí hak'ijį' danilį́įgo nidahasne', nidi doo dayíists'ą́ą' da. 
14:24:020:0	Áko Diyin God biNíłch'i éí náá'iiłniihii Jiihóíyada biye' Zekaráíyah bik'i hoole'; éí dine'é yik'idiyaadóó sizį́įgo áyidííniid, Diyin God kóní, Ha'át'éegoshą' Bóhólníihii bibik'eh ó'oo'níiłii dahohtííh? Áko éí biniinaa doo náás dohkáah da. Bóhólníihii yóó'adasidoo'ą́ biniinaa bí ał dó' yóó'anihidíí'ą́. 
14:24:021:0	Áádóó hondahaz'ą́ągo aláahgo naat'áanii haadzí'ígíí bik'ehgo Bóhólníihii bikin bii' sohodizindóó tł'óo'di haz'ánígi tsé yee hoł nidadzisne'. 
14:24:022:0	Kót'éego aláahgo naat'áanii Jó'ash éí Zekaráíyah bizhé'é Jiihóíyada yę́ę haa joozba'go há yaa naayáii t'áadoo bééjoolnii' da, nidi Zekaráíyah dziisxį́. Áko Zekaráíyah bi'niitsą́ągo ání, Bíni' Bóhólníihii noo'į́įgo k'ééndidoodlííł. 
14:24:023:0	Ákódzaadóó ałtso nááhaigo Síriya dine'é bisiláo dah deínéehii Jó'ash yaatįįh yikai; Júdah kéyahgi áádóó Jerúsalem kin haal'áagi nínáago diné bitahdóó naat'áanii danilíinii t'áá ałtso ádeisdįįdgo bąąh da'oogą́'ígíí t'áá át'é Damáskasgóó aláahgo naat'áanii yich'į' adayiizyį́. 
14:24:024:0	Síriya dine'é bisiláo bitahdóó diné t'áá díkwíí yíkai, áko t'óó ahayóí dah oonééł Bóhólníihii beidiní'ą́, háálá Jó'ash áádóó Júdah dine'é dahazhé'é yę́ę biDiyin God Bóhólníihii yóó'adazdeez'ą́. Kót'éego Síriya dine'é bisiláo éí Jó'ash atídayiilaa. 
14:24:025:0	Áádóó Jó'ash yits'ą́ą́' dah nídiikaigo (jó, t'áá íiyisí yéego át'éego yits'ą́ą́' dah diikai), áko t'áá hó há nidaal'a'í honídahodeez'ą́ągo náá'iiłniihii Jiihóíyada biye' bidił nidaashchxii' ájiilaa yę́ę biniinaa hatsásk'eh bikáa'jį' dahwiisxį́. Kót'éego dadziztsą́ągo David yę́ę bikin haal'áagi yóó'ádahoolaa, nidi aláahgo naat'áanii danilínígíí bitséní'ootséél góne' t'áadoo yóó'ádahoolaa da. 
14:24:026:0	Áko díí éí Jó'ash yik'ijį' nahaz'áanii éí Áman asdzání nilíinii Shímiyath biyáázh Zéíbad índa Mó'ab asdzání nilíinii Shímrith biyáázh Jiihózabad wolyé. 
14:24:027:0	K'ad Jó'ash haye'ké bídadéét'i'ii áádóó ayóó át'é naanish bidziilii baa nijiyáhígíí índa Bóhólníihii bikin bii' sohodizin hasht'éédaalyaaígíí, jó, éí aláahgo naat'áanii danilínígíí binaaltsoos bii' baa dahane'go bik'inídaháasdzoh. Áko haye' Amazáíyah hatsásk'ehgi nant'áá nít'éé'.
