14:25:001:1	Amazáíyah nant'áá nít'éé'
14:25:015:0	Éí bąą Bóhólníihii éí Amazáíyah yich'į' báhóóchįįdgo bá halne'ii hach'į' ayííł'a'go áhodííniid, Ha'át'éegoshą' dadine'é bidiyin dabidi'níinii éí bidine'é nits'ą́ąjį' yisdéidooniłígi nádį́'ídi doo yídaneel'áanii bich'į' cho'iisíníł'įįd? 
14:25:016:0	Áádóó t'ah yájíłti'go aláahgo naat'áanii áháłní, Da' niísh aláahgo naat'áanii bá kót'é diníigo ádaniilyaa? K'adí! Ha'át'íísh biniyé nidiyoolyééł? Áko Diyin God yá halne'ii áá hoost'įįd, nidi ání, Díí shił bééhózin: Diyin God, Ándeeshdįįł, nó'ní, háálá díí baa nisíníyá áádóó díí kót'é nidishnínígíí doo yísíníłts'ą́ą' da nít'éé'. 
14:25:017:0	Ákohgo Júdah dine'é aláahgo binanit'a'í bá nidaal'a'ígíí ííłní, Ha'át'íí lá baa naasháa doo, yiłníigo Jííhu binálí Jiihó'ahaz biye' Jó'ash Ízrel dine'é aláahgo binanit'a'í yich'į' i'ííł'a'go ání, Hágo, anaa' biniyé ahididiit'ashgo ahidiigą́ą́ł. 
14:25:018:0	Áko Ízrel dine'é aláahgo binanit'a'í Jó'ash éí Júdah dine'é aláahgo binanit'a'í Amazáíyah yich'į' i'ííł'a'go ííłní, Lébanan kéyahdóó ch'il deeníní ałts'íísí léi' éí Lébanandóó gad ayóó át'éé léi' yich'į' i'ííł'a' kóníigo, Nitsi' shiye' be'asdzą́ą doo biniyé baa níłteeh, áko Lébanangi naaldlooshii ałchinii naagháago éí ch'il deeníní łeeh yí' ííł'eez. 
14:25:019:0	Áko ádíní, Jó, Íídam dine'é bisiláo niséłtseed, diní; éí bee ádaa hosíní'nih. K'ad nighangi t'óó bił ánít'é. Ha'át'íísh biniyé ni áádóó Júdah dine'é t'áá bił nihik'eh didoodleełgo atínihidoolíiłii baa nánít'į́. 
14:25:020:0	Nidi Amazáíyah doo íists'ą́ą' da, háálá Diyin God bíniik'ehgo ádzaa, áko Íídam dine'é bidiyin dabidi'níinii bíká chojooł'į́įgo biniinaa hweda'ana'í yaa hodidoo'ááł. 
14:25:021:0	Áko Ízrel dine'é aláahgo binanit'a'í Jó'ash ákóde ííyáago Júdah kéyahgi Beth-shíímesh kin haal'áagi Júdah dine'é aláahgo binanit'a'í Amazáíyah yił ahidii'áázh. 
14:25:022:0	Áádóó Ízrel dine'é éí Júdah dine'é yik'eh dadeesdlį́į'go diné t'ááłá'í nítínígo dabiníbaalgóó anídahineezhchą́ą́'. 
14:25:023:0	Áko Ízrel dine'é aláahgo binanit'a'í Jó'ash éí Júdah dine'é aláahgo binanit'a'í Amazáíyah éí Jiihó'ahaz binálí Jiihó'ash biye' Beth-shíímeshgi yiyiiłtsoodgo Jerúsalem kin haal'áajį' yił daaskai, áko Jerúsalem ditą́ągo binaa ahéé'ítł'inígíí éí Íífreiyim biyah a'atiinídóó bee nástł'ahgi yah a'atiiníjį' éí hastą́ądi neeznádiin ké silá bíighahjį' naa'adeineeskaad. 
14:25:024:0	Áádóó óola índa béésh łigaii t'áá át'é áádóó Bóhólníihii bikin bii' sohodizin góne' beedí chodao'íinii, Óbed-íídam baa áhojilyánígíí áádóó aláahgo naat'áanii bighandóó naalye'é nídayiizlá'ígíí áádóó diné yisnánígíí bił Samériya kin haal'áágóó anáá'ná. 
14:25:025:0	Ízrel dine'é aláahgo binanit'a'í Jiihó'ahaz biye' Jó'ash daaztsą́ą́dóó bik'ijį' Júdah dine'é aláahgo binanit'a'í Jó'ash biye' Amazáíyah hináago ashdla'áadah nínáánááhai. 
14:25:026:0	K'ad Amazáíyah łahjį' átséedi áádóó akée'di ádzaaígíí, jó, éí Júdah dine'é índa Ízrel dine'é binanit'a'í danilínígíí binaaltsoos bik'inídaháasdzo. 
14:25:027:0	Áko Amazáíyah éí Bóhólníihii yikéé' yigááł yę́ę yits'ą́ąjį' hááyáádóó bik'ijį' Jerúsalem kin haal'áagi hondahaz'ą́ągo Léíkish kin haal'áágóó azhnííchą́ą́'. Nidi ákǫ́ǫ́ hakéé' ada'as'a'go áadi dahwiisxį́. 
14:25:028:0	Áádóó łį́į́' yee nídahastį́įgo Júdah kéyahgi kin haal'áagi dahazhé'é yę́ę yóó'ádaalyaagi yóó'ádahoolaa.
