5:3:001:1	Ízrel dine'é éí Béíshan kéyahdóó Ag wolyéii yik'eh dadeesdlį́į́'
5:3:002:1	Rúben dine'é áádóó Géed dine'é índa Manáseh dine'é ałníí'dóóígíí Jórdan tooh ha'a'aahjígo nidahaazná
5:3:011:0	(Áko Béíshan kéyahdóó aláahgo naat'áanii Ag wolyéii yé'iitsoh ła' nilį́įgo éí t'éí yidziih. Jó, tsásk'eh yikáá' nitéhígíí béésh nitł'izii bá nidaaz'áago ályaa. Éí Ámon dine'é bikin haal'áhígi Rábah hoolyéegi si'ą́. Táá'ts'áadahdóó ná'áłníi'go ké silá áníłnééz áádóó naaniigo éí hastą́ądi ké silá áníłtéél. Kúbit wolyéhígíí ach'oozlaa'dóó ála' aníí'dę́'ígíí bílátahjį' bee í'neel'ąąhígíí át'é.) 
5:3:012:0	Áko díí kéyah nihíí' ádeilyaa yę́ędą́ą́' Aró'er kin haal'áádóó Árnan tooh bibąąhgi haz'ánídóó Dził Gíliyad ná'áłníi'jį' kin hadaas'áhígíí t'áá bił Rúben dine'é áádóó Géed dine'é baa diní'ą́. 
5:3:013:0	Áádóó Gíliyad kéyah łahjį' índa Béíshan kéyah t'áá náhwiiz'ą́ą́ nít'éé' Ag wolyéii aláahgo bee bóhólníihgo bił haz'áanii éí Manáseh dine'é ałníí'dóóígíí baa diní'ą́. Árgab nahós'a'góó t'áá át'é Béíshan kéyah t'áá náhwiiz'ą́ą́ nít'éé' ałdó' yé'iitsoh bikéyah hoolyéé nít'éé'. 
5:3:014:0	Manáseh biye' Jéíyer wolyéii Árgab kéyah t'áá át'é t'áá Gíísher dine'é índa Méíyakah dine'é bihoodzojį' nidi náhodii'ą́, áádóó bik'ijį' t'áá bí bízhi' yee dayíízhi'. Díí jį́į́góó Héívath-jéíyer yee dayózhí. 
5:3:015:0	Áko Gíliyad nahós'a'gi Méíker wolyéii baa diní'ą́. 
5:3:016:0	Áádóó Gíliyad hahoodzodóó Árnan toohjį' áádóó Jábak tooh bíighahjį' Áman dine'é bihoodzojį' Rúben dine'é índa Géed dine'é baa diní'ą́. 
5:3:017:0	Jórdan tooh bibąąhgi dahoníteelígóó Kíniireth hoolyéédóó Tónteel Dók'ǫ́ǫzhii hoolyéhíjį' éí Dził Pízgah bitsį́į́dóó ha'a'aahjigo ałdó' baa diní'ą́. 
5:3:018:0	Áko íídą́ą́' bee ánihidííniidgo ádíshní, Bóhólníihii nihiDiyin God díí kéyah nihaidiní'ánígíí nihíí' ádaahłééh. Doo nídanilyéesii danohłíinii, bee na'abaahí hasht'eet'éego ádaahłéehgo nihik'isóó Ízrel dine'é danilíinii bilą́ąjį' ha'naa nidooh'nééł. 
5:3:019:0	Nidi nihida'asdzą́ą́ áádóó nihada'áłchíní yázhí índa danihilį́į́' dahólǫ́, (jó, t'áá hazhó'ó nihilį́į́' deíl'áago shił bééhózin,) éí nihikin hadaas'áhígóó t'áá nihaa hodiní'ánígi bíni'dii t'áá ákǫ́ǫ́ nidaakai dooleeł. 
5:3:020:0	Bóhólníihii éí nihik'isóó danilíinii hasht'ehodít'é yeidiní'ą́ągo áádóó nihí ałdó' nihaidiní'ą́ągo áádóó Jórdan tooh wónaanídi Bóhólníihii nihiDiyin God nilíinii kéyah haidiní'ánígíí hóó' ádajiilaago índa t'ááłá'í nootínígo kéyah nihaa diní'ánígíí nihíí' ádadoohłííłgóó nihéédahidoohkah. 
5:3:021:0	Íídą́ą́' Jáshowa bich'į' haasdzíi'go kóbidishní, Bóhólníihii niDiyin God éí aláahgo naat'áanii nidilt'éego atííł'į́įgo yiniłtsą́; ídahólníihii bił nahaz'ą́ą́góó t'áá ałtso bii' táhodíleehgóó Bóhólníihii ałdó' ákóháł'į́į doo. 
5:3:003:1	Mózes éí Kéínan kéyah doo biih díínáał da bi'doo'niid
5:3:022:0	Éí t'áadoo bik'ee nił yé'í, háálá Bóhólníihii niDiyin God ná naabaah doo. 
5:3:023:0	Áko íídą́ą́' Bóhólníihii néisíkango ádííniid, 
5:3:024:0	Bóhólníihii Diyin God nílíinii, ná naal'a'í binááł ayóó ánít'éhígíí índa nibee adziilii yit'íní íínísingo hodideeshzhiizh. Ha'át'íí diyin shį́įshą' yádiłhił biyi'di, doodaii' nahasdzáán bikáa'gi ayóó ádaat'éii ádeinilaaígi át'éego índa baa nisíníyáhígi át'éego ni'doolíiłgo yíneel'ą́? 
5:3:025:0	T'áá shǫǫdí, Jórdan tooh wónaanídi kéyah ayóó ánóolninígóó áádóó daadził dahózhónígóó índa Lébanangóó deesháałgo hwiideestséełgo sha'di'ní'aah. 
5:3:026:0	Nidi Bóhólníihii éí nihiniinaa shich'į' báhóóchįįdgo doo shíists'ą́ą' da, áádóó Bóhólníihii áshíłní, T'áá ákódígo bee handziih; ákwíinínízinígíí doo bee shich'į' hanáádíídzih da. 
5:3:027:0	Dah diináahgo Dził Pízgah wolyéii bighą́ą́'góó hasínááh, áádóó e'e'aahjigo áádóó náhookǫsjigo áádóó shádi'áahjigo índa ha'a'aahjigo dídíí'įįł. Nidi t'óó nináá' t'éí bee hwiidííłtsééł, háálá Jórdan tooh doo ha'naa nidíínáał da. 
5:3:028:0	Nidi Jáshowa bich'į' handziihgo chánah ánílééh áádóó bidziilgo ánílééh, háálá díí dine'é yoo'ishgo ha'naa nidoogááł, áko kéyah íí' dooleełii ádíí' ádeidoolíiłgo íidoolíłígíí yidííłtsééł. 
5:3:029:0	Áko Beth-píyor honíteel binaashiijí kéédahwiit'į́į́ nít'éé'.
