59:2:001:1	T'áadoo ał'ohgo ahaa nitsídaahkeesí
59:2:015:0	Ak'is , doodaléi' alah nilíinii ła' bik'i ni'iizt'óodgo áádóó ch'iyáán bee ádingo ,
59:2:016:0	yídin nilíinii t'áadoo ła' baa nołéhé , T'óó nílááh , nił hózhǫ́ǫgo t'áadoo nidlóhí índa hwiih nílį́įgo yínááł , bidooniidgo , éishą' ha'át'íí nídoodleeł ?
59:2:017:0	T'áá ákót'éego hwe'oodlą' t'áá bízhánígo , ó'oo'níiłii bąąh ádingo , t'áadoo nánídlíní da .
59:2:018:0	Nidi diné ła'da ádidooniił , Ni éí iinídlą́ , nidi shí t'éí yá'át'éehgo ááshnííł . Haa'íshą' ááníiłii t'áágééd ne'oodlą' shił ííshjání ánílééh , áko shí ałdó' ááshníłígíí bik'ehgo she'oodlą' nił ííshjání ádeeshłííł .
59:2:019:0	Diyin God t'ááłá'í hólǫ́ǫgo yinídlánígíí éí yá'át'ééh . Jó , níłch'i bida'iiníziinii ákót'éego da'oodlą́ą nidi yik'ee bił daayée'go bitah dahoditłid .
59:2:020:0	Dooládó' diné doo hóyáanii nílíinii , ájooníiłii t'áágééd hwe'oodlą' t'áadoo nánídlíní daígíísh shił bééhodoozįįł nínízin ?
59:2:021:0	Éíbraham yę́ę , nihizhé'é nilíinii , bikáá' náá'iiniihí bikáa'gi biye' Áízak niiníłtį́ yę́ędą́ą́' t'áá bí ádzaaígíí bee ts'ídá t'áá ákogi át'éego bá ha'oodzíí' .
59:2:022:0	Jó , Éíbraham bi'oodlą' áádóó ááníłígíí t'áá yił yoołt'ihgo ááníłígíí bee bi'oodlą' ła'yiyiilaaígíí k'ad nił bééhoozin .
59:2:023:0	Áko Diyin God bizaad bee ak'e'ashchíinii kónínígíí bohoolyaa , Éíbraham éí Diyin God joosdląąd , áko ts'ídá t'áá ákogi ájít'éego há haadzíí' . Áko Diyin God bik'is jílį́įgo há ha'oodzíí' .
59:2:024:0	Jó , kót'éego nihił béédahoozin , diné ájooníłígíí bee Diyin God bił t'áá ákogi ájít'é jileeh , hwe'oodlą'ígíí ájooníiłii doo bił joołt'ihgóó éí doo bíighah da .
59:2:025:0	T'áá ákót'éego ałdó' Réíhab , ałjiłnii nilíinii , éí hane' neii'áhí yah ayíí'eezh yę́ędą́ą́' , áádóó nák'ee'ąągo ch'ínéiníł'a' yę́ędą́ą́' ; ádziidzaaígíí bee Diyin God bił ts'ídá t'áá ákogi ájít'é dzizlį́į́' .
59:2:026:0	Háálá hwii' sizíinii t'áágéedgo hats'íís doo hináa da , t'áá ákót'éego ałdó' ájooníłígíí hwe'oodlą' doo bił joołt'ihgóó t'áadoo nánídlíní da .
