44:10:001:1	Peter áádóó Korníílyas
44:10:012:0	Éí biyi'gi nidaaldlooshii [ áádóó nidaaldlooshii báádahadzidii] áádóó nidaa'na'ii índa nidaat'a'ii t'áá ał'ąą ádaat'eełii jiiłtsą́ .
44:10:013:0	Áko iinéé' ła' jidiizts'ą́ą'go áháłní , Nídiidááh , Peter ; ła' naniłtseed áádóó ílghał .
44:10:014:0	Nidi Peter ání , Doodayéi , Bóhólníihii , háálá t'áá bóhólníhígíí índa doo deidą́ą́góó bee nihá haz'áanii éí ła' ts'ídá t'ah doo yishą́ą da .
44:10:015:0	Áko iinéé' náázdiizts'ą́ą'go ánááhodi'ní , Diyin God ha'át'íhída hasht'eyiilaii éí t'áadoo t'áá bóhólníhígíí át'é bidiníní .
44:10:016:0	Díí táadi ákónádzaago índa yádiłhił biih nááldoh .
44:10:017:0	Ákohgo Peter hoł áhoodzaaígíí ha'át'íí lá ááhyiłníí lá jiniizį́į'go t'óó hoł haada , nít'éé' jó'akon , Korníílyas bits'ą́ą́dę́ę́' diné dabi'deel'a'ígíí , Sáíman bighan yínda'ídíłkidgo ch'é'étiingi naazį́į́ lá ,
44:10:018:0	áko nida'ídíłkidgo ádaaní , Sáíman t'áá éí ałdó' Peter yolyéhígíísh kwe'é sidá ?
44:10:019:0	Áko Peter hoł áhoodzaaígíí baa nitsídzíkees , nít'éé' Níłch'i Diyinii áháłní , Jó'akon , diné tált'éego hádanidéez'į́į́' .
44:10:020:0	Nídiidáahgo hadaninááh , áko t'áadoo síníti'í bił dah diikááh , háálá shí dahoníł'a' .
44:10:021:0	Áko [ Korníílyas bits'ą́ą́dę́ę́' diné dabi'deel'a'ígíí] bich'į' Peter hadajííyáago ájíní , Hádadóh'į́'ígíí éí shí ásht'į́ ; ha'át'íishą' biniyé noohkai ?
44:10:022:0	Áko diné yíkaígíí ádaaní , Korníílyas , siláo neeznádiingo binanit'a'í jílíinii , diné t'áá ákogi ááníiłii índa Diyin God yidísinii jílį́įgo , Jew dine'é t'áá ałtso yá'át'éehgo haa ch'ídahwii'aahii jílį́ , t'áá éí diyingo naal'a'í yee hooł'a'ii bik'ehgo haghandi díínáałgo saad nits'ą́ą́dóó jididoots'į́į́ł biniyé níká dah nihizhdiił'a' .
44:10:023:0	Áko Peter yah oohkááh jidííniidgo t'áá ákǫ́ǫ́ ha'ałk'ee dabiiską́ . Biiskání nízhdii'na'go bił dashdiikai , Jápadóó ałk'isóó danilíinii ałdó' ła' hoł yíkai .
44:10:024:0	Náábiiskání Sesaríyadi jíkai . Korníílyas na'ólíigo bik'éí danilíinii áádóó dabich'ooní danilínígíí áłah áyiilaa lá .
44:10:025:0	Áko Peter yah ajííyáago , Korníílyas hadááh yílwodgo hach'į' nitsidinígo'go tsé'yaa neeshjool .
44:10:026:0	Nidi Peter náhodiidzį́įzgo áháłní , Yiizįįh ; shí ałdó' t'áá diné nishłį́ .
44:10:027:0	Áko bił ałch'į' yájíłti'go bił yah ajíí'áázh , nít'éé' lą'í áłah azlį́į́' lá .
44:10:028:0	Áko Peter hach'į' haadzíi'go ání , T'áá nihí nihił béédahózin , Jew dine'é náánáła' dine'é bił nijildeeh dooleełgo , éí doodaii' dabighangóó hootaa dajikai dooleełgo doo bee há haz'ą́ą da , ákondi Diyin God , diné ła' t'áá bóhólníhígíí índa danchxǫ́'í doo bidideeshniiłgóó shił ííshjání áyiilaa .
44:10:029:0	Éí bąą shaa íl'a'go t'áadoo dooda nisiní nihaa níyá . Áko nanihídíshkid , Ha'át'íísh biniyé shíká nida'sooł'a' ?
44:10:030:0	Áko Korníílyas ání , Dį́į́' yiskánídą́ą́' , [ hodínísingo doo ashą́ą́góó] kojį' daats'í o'oolkidgo , wózhǫ́ yaa adeez'ą́ągo sodizin biniyé hoo'a'go shighan góne' sodiszin nít'éé' ; jó'akon , diné léi' shidááhdóó bi'éé' bits'ádi'nílíidgo sizį́ .
44:10:031:0	Nít'éé' ání , Korníílyas , Diyin God nisodizin yidiizts'ą́ą́' , áádóó badahojoobá'íii bíká anánílwo'ígíí ná yénáálnii' .
44:10:032:0	Éí bąą Jápagóó adíł'áago Sáíman éí Peter ałdó' joolyéhígíí , hágo hodiní ; éí diné ałdzéhí nilį́įgo Sáíman ałdó' yolyéego tábąąhgi bighan , ákwii ba'ałk'ee dzizdá . [ Éí níyáago nich'į' hadoodzih . ]
44:10:002:1	Peter éí Korníílyas bighandi yáłti'
44:10:033:0	Éí bąą t'áá áko níká i'ííł'a' , áko yíníyáhígíí yá'át'éhígi íinidzaa . Áko k'ad kóne' t'áá áníiltso Bóhólníihii yee ná haadzí'ígíí t'áá ałtso dadidiits'į́į́ł biniyé Diyin God binááł áłah niidlį́ .
44:10:034:0	Áko Peter ayá'niiłti'go ání : K'ad t'áá aaníí shił bééhoozin , Diyin God doo ał'ohgo diné yaa nitsíkees da .
44:10:035:0	Nidi ał'ąą dine'é bitahdę́ę́' t'áá háiida hodísin áádóó t'áá ákogi ááníłígíí t'éiyá ádeidiit'aah .
44:10:036:0	Ízrel dine'é bich'į' hane' ájiilaaígíí , éí Jesus Christ binahjį' hane' yá'át'éehii bee ach'į' hózhóonii baa hojoolne'go ( Jesus éí diné t'áá ałtso yee bóhólníihii nilį́į́ lá ) ,
44:10:037:0	éí hane'ígíí t'áá íídą́ą́' nihił béédahózinii ááhdishní , John tó bee alzį́į́h baa nahodzisne'dóó bik'ijį' Gáliliidóó háát'i'ii éí Judíya kéyahgóó t'áá át'éé nít'éé' baa nahazne' :
44:10:038:0	Diyin God éí Jesus Názarethdóóígíí Níłch'i Diyinii yee índa bee adziilii yee ats'éiníłtį́ , áádóó yá'át'éehii yaa naagháago níłch'i bida'iiníziinii binanit'a'í atídabił'íinii t'áá ałtso hadaałt'é áńdeidle'go Diyin God bił hólǫ́ǫgo , tádííyáhígíí baa nahazne' .
44:10:039:0	Áko Jew dine'é bikéyahgi índa Jerúsalemgi baa nijiyáhígíí t'áá ałtso nihí dabíínáałii daniidlį́ . Tsin yąąh dah dahodiiłt'e'go dahwiisxį́ ,
44:10:040:0	nidi tágí jį́ aleeh góne' Diyin God nááhodiisáago ho'doot'į́įgo áhoolaa ,
44:10:041:0	doo diné t'áá ałtso dahoołtsą́ą da , nihí Diyin God nánihiizláa'ii t'éiyá dabíínáałii daniidlį́įgo , dadziztsą́ą́dę́ę́' náázdiidzáádóó bik'ijį' doodį́įłii índa doodlį́įłii hoł deiidą́ą́' .
44:10:042:0	Áko t'áá hó ánihijiníigo bich'į' nihijííł'aad , hane' yá'át'éehii bee diné bił dahołne' , dahináanii índa daneeznáanii bá nihozhdoo'ááł biniyé Diyin God nihoníłtį́ dadohníigo , t'áá aaníí nihił béédahózingo baa dahołne' .
44:10:003:1	Doo Jew dine'é danilíinii Níłch'i Diyinii bii' dahazlį́į́'
44:10:043:0	T'áá nááná hó , Diyin God yá dahalne'ii t'áá ałtso haa dahalne'go ádaaní , Diné t'ááłá'í nítínígo dahoodlą́ągo haa dadzólíii , házhi' binahjį' bibąąhági ádaat'éii bá yóó'ahididoot'ááł .
44:10:044:0	Peter díí t'ahdii yee yáłti'go , saad deidiizts'ą́'ígíí t'áá ałtso Níłch'i Diyinii bik'i dahoole' .
44:10:045:0	Áko bąąh nídahineeshgizhii bitahdóó da'oodlání Peter yił yíkaígíí t'óó bił adahóóyóí , háálá doo Jew dine'é danilíinii nidi Níłch'i Diyinii bii' dahazlį́į́' .
44:10:046:0	Háálá saad ał'ąą ádaat'éii yee yádaałti'go índa Diyin God yaa dahaniihgo deidiizts'ą́ą́' . Áko Peter haadzíi'go ání ,
44:10:047:0	Díí diné , t'áá nihígi át'éego Níłch'i Diyinii biih dahwiizle'ígíí tó bee dabidi'doolzįhgi ła'daásh dooda dohní ?
44:10:048:0	Áko Jesus Christ bízhi' binahjį' tó bee dabidi'doolzįh jiníigo bá hadzoodzíí' . Nít'éé' ádahodííniid , T'áá kǫ́ǫ́ sínídáago díkwíida yidoołkááł .
