44:28:001:1	Paul éí kéyah táyi' si'ánígíí Málta hoolyéegi naaghá
44:28:022:0	Nidi bee nitsíníkeesii ná dadidiits'į́į́ł daniidzin , háálá díí nahadlá bee ałts'á'áldah ha'nínígíí t'áá ałtsogóó dooda daha'níigo bee yádaati'go nihił béédahózin .
44:28:023:0	Áko há nidahaz'ą́ bijį́į́ góne' , dzizdáagi t'óó ahayóí haa áłah silį́į́' . Abínídóó i'íí'ą́ąjį' t'áá bééhózínígo Diyin God bee bóhólníihgo bił haz'áanii bee bił hojilne'go , Jesus éí Christ nilį́įgo bee bíni' bá ádahozhdoolííł biniyé bee haz'áanii Mózes baa deet'áanii índa Diyin God yá dahalne'ii yę́ę bindaaltsoos binahjį' t'áá íiyisí nazneeztą́ą́' .
44:28:024:0	Áko ła' bee hadziisdzí'ígíí dayoosdląąd , ła' éí t'áadoo dayoosdląąd da .
44:28:025:0	Áko t'áá bí ałts'ákahgo Paul díí yee hanááhaasdzíí'dóó bik'ijį' t'óó dah nídahidiikai , T'áá aaníí Níłch'i Diyinii kóníigo , Aizéíyah Diyin God yá halne'ii danihizhé'é yę́ę yich'į' yee haadzíí' !
44:28:026:0	Díí diné baa nínáahgo kóbidiní : T'áá aaníí dadidoohts'į́įł nidi , ts'ídá doo bik'idadi'doohtį́įł da , áádóó t'áá aaníí daah'į́į dooleeł nidi , ts'ídá doo deidoołtséeł da .
44:28:027:0	Háálá díí dine'é bijéí daneelk'ah , áádóó jéé'ádahodeeskał , índa daniilch'iil ; doodago éí dabináá' yee da'iidoołtsééł , áádóó dabijaa' yee dadi'doots'į́į́ł , índa bijéí yee ak'idadi'dootį́į́ł , áko shich'į' ninádookahgo náádabidideeshłááł .
44:28:028:0	Áko díí Diyin God bits'ą́ą́dę́ę́' bee yisdá'iildéehii éí doo Jew dine'é danilíinii bich'į' ályaaígíí nihił béédahózin le' ; éí dayíists'ą́ą' doo .
44:28:029:0	[ Nít'éé' díí saad bee hadzoodzíi'go , Jew dine'é t'áá íiyisí ałghada'dit'áahgo anáhaaskai . ]
44:28:030:0	Áko Paul ákwii naaki nááhaijį' t'áá bí yik'é asłáago bighan nít'éé' , áko baa dahakáhígíí t'áá ałtso bił yá'át'ééh .
44:28:031:0	Diyin God bee bóhólníihgo bił haz'áanii yaa halne' áádóó t'áadoo bahat'aadí Bóhólníihii Jesus Christ yaa halne' índa t'áadoo niitł'ahí yee na'nitin nít'éé' .
