44:9:001:1	Saul oosdląąd
44:9:024:0	nidi Saul hohodeest'ánígíí hoł bééhoozin . Áko dahodiyoołhééł biniyé jį́įgo áádóó tł'ée'go béésh dáń'dadilkałgóó háká dadéez'į́į́' ,
44:9:004:1	Jerúsalemdi Saul naaghá
44:9:025:0	nidi tł'ée'go kin haal'á ditą́ągo binaa ahéé'ítł'in góyaa ts'iizis bii' dzizdáago ídahooł'aahii hadah adahazlo' .
44:9:026:0	Áko Jerúsalemgi jiníyáago ídahooł'aahii bidideeshááł ch'ééh jinízin , háálá íhooł'aahii dzizlį́'ígíí doo dayoodlą́ą́góó t'óó hwéédaaldzid .
44:9:027:0	Nidi Bárnabas hodiiyáago daal'aadii yich'į' hoł ní'áázh , áko daal'aadii yił hoolne'go ání , Saul joogááł nít'éé' Bóhólníihii jiiłtsą́ągo hach'į' haadzíí' , áko t'áadoo náhoniyésí Damáskasgi Jesus bízhi' bee nahodzisne' lá .
44:9:028:0	Áádóó Jerúsalemgi bił nidzíiztą́ągo bił tázhdíkááh ,
44:9:029:0	t'áadoo náhoniyésí Bóhólníihii [ Jesus] bízhi' bee hojilne'go , índa Jew dine'é danilíinii Gríik bizaad yee yádaałti'ígíí bich'į' yájíłti'go bił ałghadazh'dit'ááh , nidi dahodiyoołhéełgo haa nidahaakai .
44:9:030:0	Áko ałk'isóó danilínígíí bił béédahoozingo Sesaríya góyaa hoł daaskai , áádóó Társasgóó adahas'a' .
44:9:005:1	Iiníyas náábi'diilzá
44:9:031:0	Áko Judíyagóó áádóó Gáliliigóó índa Samériyagóó da'oodlání áłah nídaadleehii t'áá ałtso hasht'edadíít'e'go dabidziilgo ádaalyaa , índa Bóhólníihii deidísingo dahináago Níłch'i Diyinii yee hada'ólníigo k'ee'ąą deeshzhiizh .
44:9:032:0	Áko Peter t'áá ałtsogóó tázhdííyáago Lídagi Diyin God bidiyį́į́' kéédahat'ínígíí ałdó' baazhníyá .
44:9:033:0	Ákwe'é diné ła' Iiníyas yolyéé léi' bik'ízhníyá , bitah doo nahwii'náágóó t'óó sitį́įgo tseebíí nááhai lá .
44:9:034:0	Áko Peter áhodííniid , Iiníyas , Jesus Christ náánidiisá ; nídiidáahgo nitsásk'eh hasht'éénídlééh . T'áá áko náhizhdiitah .
44:9:006:1	Dórkas éí hinááh násdlį́į́'
44:9:035:0	Áko Lídagi índa Shérangi kéédahat'ínígíí t'áá ałtso dahoołtsą́ągo Bóhólníihii yich'į' dah dahidiikai .
44:9:036:0	Íídą́ą́' Jápagi íhooł'aahii léi' Tábitha yolyéego naaghá , Tábitha éí Gríik k'ehjí Dórkas jiníigo óolyé , ( éí Bįįh Yázhí óolyé ) . Díí asdzání lą'í naanish yá'át'éehii yaa naaghá , índa badahojoobá'íígíí lą'ígóó yíká análwo'go hiná .
44:9:037:0	Ákwe'é yoołkááł yę́ędą́ą́' hatah honiigaiigo dadziztsą́ , áko táádeizgizgo ná'ádeídi nideistį́ .
44:9:038:0	Lídadóó Jápajį' áhánígo , Peter áadi nijigháago ídahooł'aahii haa dahodiizts'ą́ą'go , T'áadoo na'áhozdilziidí nihaazhdoogááł , daaníigo nídahookąąhgo diné naaki hach'į' adeis'a' .
44:9:039:0	Áko Peter nídii'na'go hoł dah diikai . Áadi jiníyáago ná'ádeídi hoł yah aakai . Asdzání bąąh ádahasdįįdii t'áá ałtso daachago hwíighahgóó naazį́ , Dórkas t'ahdii bitah naaghá yę́ędą́ą́' éétsoh índa éé' ádayiilaaígíí hach'į' nídeidéénil .
44:9:040:0	Nidi Peter , T'áá ánółtso ch'ínóhkááh , hałníigo nitsidinígo'go sodoolzin , áko ats'íís yich'į' niníyáago ání , Tábitha , nídiidááh . Áko deezghalgo Peter yiyiiłtsą́ągo neezdá .
44:9:041:0	Peter hála' yiyiiłtsoodgo náhodiidzį́į́z . Áko Diyin God bidiyį́į́' índa asdzání bąąh ádahasdįįdii hágo yidííniid , áko Tábitha hiná násdlį́į'go dayiiłtsą́ .
44:9:042:0	Áko Jápagóó t'áá át'éé nít'éé' daa'nii'go lą'í Bóhólníihii dayoosdląądgo yaa dadzoozlíí' .
44:9:043:0	Ákódzaago Peter t'áá Jápagi ałdzéhí léi' , Sáíman yolyéego , ba'ałk'ee dzizdáago lą'í yiską́ .
