44:2:001:1	Níłch'i Diyinii ee hazlį́į́'
44:2:017:0	Diyin God haadzíi'go ání , Nihodoogáałjį' ayííłką́ągo kódahooníił doo : nihokáá' dine'é t'áá ałtso shiNíłch'i bik'i hwiidooleeł , áko nihiye'ké áádóó nihitsi'ké Diyin God yá dahalne' dadooleeł , áádóó nihitsíłke'é bił ádahat'į́į dooleeł , índa nihadahastóí nideiyeeł dooleeł ;
44:2:018:0	éí yoołkáałdi diné shá nidaal'a'ígíí índa asdzání shá nidaal'a'ígíi nidit'áá biláahgo shiNíłch'i baa dideesh'áałgo , shá dahalne' dooleeł .
44:2:019:0	Áko wódahdi yádiłhił biyi'di bik'ee t'óó ił ahayóigo ádahooníiłiiínda wóyahdi nahasdzáán bikáa'gi shibee adziilii bee béédahózinii , dił , áádóó kǫ' , índa łid áhí nahalingo ádadeeshłiił ;
44:2:020:0	jį́honaa'éí bił chahodoołhił , índa tł'éhonaa'éí dił nahalin dooleeł , Bóhólníihii nídoodááł t'ah doo beiyíłkaahgóó áhodoonííł . Jó , éí ayóó át'é índa bik'ee t'óó ił ahayóigo ha'doo'ááł .
44:2:021:0	Áko t'áá háiida Bóhólníihii bízhi' bee józhíigo níjooskanígíí yisdáhodoołtééł .
44:2:022:0	Ízrel dine'é danohłíinii , díí saadígíí dadoohts'į́į́h : Názarethdóó Jesus éí álílee k'ehgo ádahooníiłii , áádóó bik'ee t'óó ił adahayóigo ádahooníiłii , índa Diyin God bibee adziilii bee béédahózinii nihitahgóó baa nijiyáhígíí bee Diyin God nihich'į' hwee lą́ asłį́į'go nihił béédahózin .
44:2:023:0	Diyin God t'áá átséedi bił bééhózingo binahat'a' yee nihoní'áanii bik'ehgo díí Jesus nihaa deet'ą́ . Áko diné doo yá'ádaashóonii bílák'e dasidoo'ą́ , áádóó tsin ałnáoszid bikáa'jį' bił ada'askaalgo dasoołhį́ .
44:2:024:0	Nidi Diyin God náábidiisá , háálá daaztsánígíí yee ti'hoo'nííh niiníłt'i' , jó , éidí bee bi'dótą' dooleełígíí doo bohónéedzą́ą da .
44:2:025:0	Háálá ałk'idą́ą́' David haa halne'go ádííniid : Bóhólníihii t'áá áłahjį' shilą́ąjį' hojílǫ́ǫgo hweesh'į́ , háálá shinish'náájí hojílǫ́ , áko doo shił na'ii'náa da doo .
44:2:026:0	Éí bąą shijéí bił hóózhǫǫd , índída shizaad hózhǫ́ǫgo haasdzíí' , áádóó ałdó' shits'íís na'ólíigo hanályį́įh doo .
44:2:027:0	Háálá shii' sizíinii doo t'áá hool'áágóó ti'hoo'níihdi hólǫ́ǫgo ádíílíił da , niDiyin Nilíinii didoołdziłjį' ałdó' doo ninádidíí'áał da .
44:2:028:0	Iiná bá honít'i'ígíí shił bééhózingo áshiinilaa ; shił honílǫ́ǫgo t'áá íiyisí baa shił hózhǫ́ǫgo áshidíílííł .
44:2:029:0	Peter ánáázhdoo'niid , Shik'isóó , t'áadoo bich'į' ni' nishłíní nihizhé'é David yę́ę binahjį' nihich'į' hadeesdzih , éí daaztsą́ áádóó yóó'ábi'diilyaa , áádóó díí jį́įjį' tséní'ootséél góne' abi'dooltínígi t'ahdii bik'eh haz'ą́ .
44:2:030:0	Éí Diyin God yá halne'ii jílį́ , áádóó hats'ą́ą́dóó náás oochíiłii ła' , éí [ Christ , diné silį́į'go] hojoo'áałgo dah dzizdáá nít'é'ígi dah dínóodaałgo , Diyin God hach'į' yee ádee hadoodzíi'go hoł bééhózin .
44:2:031:0	Christ daaztsą́ą́dę́ę́' náábidi'doodláłígíí t'áá bítséedi hoł bééhózingo bee hadzoodzíí' , [ Hwii' sizíinii] doo t'áá hool'áágóó ti'hoo'níihdi hólǫ́ǫgo áyiilaa da , hats'íís ałdó' t'áadoo dííłdzid da .
44:2:032:0	Díí Jesus jílíinii lą́ą Diyin God nááhodiisáago nihí t'áá áníiltso dabíínáałgo bił béédahózinii daniidlį́ .
44:2:033:0	Áko Diyin God binish'náájí dah honeesdáago ayóó ájít'é áhoolaa , áádóó aTaa' éí Níłch'i Diyinii yee nihoní'áanii hwee hazlį́į'go nihaazhdiní'ą́ , áko díí k'ad daah'į́ áádóó dadoohts'a' .
44:2:034:0	Háálá yá'ąąshgóó ííyáii éí doo David át'į́į da , nidi David t'áá bí ání , Bóhólníihii éí shiBóhólníihii áyidííniid , Shinish'náájí dah sínídá ,
44:2:035:0	nida'ana'í bik'i dííníl'eezgo ániishłaajį' .
44:2:036:0	Éí bąą tsin ałnáoszid bikáa'jį' Jesus bił ada'soołkaal nít'éé' yę́ę Diyin God éí Bóhólníihii áádóó Christ nilį́įgo áyiilaa , díí Ízrel dine'é t'áá ałtso t'áadoo naaki nilíní bił béédahózin le' .
44:2:037:0	Áko éí deidiizts'ą́ą'go bijéí t'áá íiyisí dajishishiigi ádaadzaago yínííł daazlį́į́' , áko Peter índa ła' daal'aadii danilínígíí ádeidííniid , Nihik'isóó , ákoshą' haa dadii'nííł ?
44:2:038:0	Áko Peter áhodííniid , T'ááłá'í nootínígo łahgo át'éego Diyin God bich'į' tsíńdahidohkeesgo Jesus Christ bízhi' bee tó bee danihi'dólzį́į́h , áko Diyin God bich'į' ádił da'soohsí'ígíí nihá yóó'iididoo'ááł , áádóó Níłch'i Diyinii nihaa deet'áanii nihíí' dadooleeł .
44:2:039:0	Háálá éí nihí áádóó niha'áłchíní índa nízaadi nidaakaii bił nihíí' dadooleełgo yee nihoní'ą́ , Bóhólníihii nihiDiyin God hágo deididooniiłígíí t'áá ałtso baa deet'ą́ .
44:2:040:0	Áádóó lą'ígóó saad bee bich'į' hadziisdzíí' índa biyahoozhniiłįįhgo ájíní , Díí tsi'na'aldeehgo oochíłígíí bits'ą́ąjį' yisdáhóhkááh .
44:2:041:0	Áko hazaad dayoosdląądgo yaa bił dahózhónígíí tó bee dabi'doolzį́į́' , áko éí bijį́ táadi mííl daats'í ánéelą́ą'go hodiikai .
44:2:003:1	Da'joodláanii ahił dajídlį́įgo kééhojit'į́
44:2:042:0	Áko t'áadoo ádahozdiilzéhí daal'aadii yee nida'nitinígíí bik'ehgóó ádajít'é índa ahił dajídlį́įgo bááh ninádajiitihgo nídajidį́į́h áádóó sonídazdilzįįhgo hoolzhish .
44:2:043:0	Áko diné t'áá ałtso t'óó bił adahayóigo ádá dahodílzin , áádóó bik'ee t'óó ił adahayóigo ádahooníiłii índa Diyin God bibee adziilii bee béédahózinii daal'aadii binahjį' lą'í ádaalyaa .
44:2:044:0	Áádóó da'oodlánígíí t'áá ałtso bee dahólóonii bił ałts'ą́ą́' da'dzíłk'iizgo t'ááłáhígi kééhojit'į́į́ nít'éé' ;
44:2:045:0	ha'át'íhída bee hódahólníihii índa hanaalye'é haa nidahaaznii' , áko diné t'áá ałtso t'ááłá'í nítínígo choideidooł'įįłii bee ádaadinii bitaa dadziznii' .
44:2:046:0	T'áá ákwíí jį́ aheełt'éego nitsídadzikeesgo kin bii' sohodizin bił haz'ánígóó ałnáádajikah , índa hoł dahózhǫ́ǫgo áádóó ahił dajídlį́įgo dahooghangóó bááh ninádajiitih áádóó nída'jidį́į́h ,
44:2:047:0	Diyin God baa dahojiniihgo diné t'áá ałtso hoł danilį́įgo hoolzhish . Áko t'áá ákwíí jį́ yisdáhákáhígíí Bóhólníihii hóyiyiinííł .
