44:17:001:1	Thesalonáíkadi hahonííchaad
44:17:024:0	Diyin God éí nahasdzáán índa t'áá ałtsoní bikáa'gi dahólóonii áyiilaii , éí yádiłhił índa nahasdzáán bee bóhólníihgo , kin bii' sohodizin yílá bee ádaalyaii doo yii' hólǫ́ǫ da ,
44:17:025:0	t'áadoo le'é nidi doo yídin nilį́į da , diné nidi doo bíká oolyeed át'ée da , háálá t'áá bí , iiná áádóó bee ní'dídzihii índa t'áá ałtsoní diné t'áá ałtso yeidii'aah .
44:17:026:0	Áko diné t'ááłá'í bidił bits'ą́ą́dóó ał'ąą dine'é t'áá ałtso nahasdzáán bikáa'gi t'áá át'éé nít'éé' kéédahat'į́į dooleeł biniyé áyiilaa , áádóó hoolzhishii biyi' dahináa dooleełígíí , índa kéédahat'į́į dooleełgóó t'áá átséedi yee nihoní'ą́ .
44:17:027:0	Éí Diyin God hadeintáago t'ah nít'ée'da haa ákodaniizįįhgo hak'ídaakah łeh nízingo ákót'éego áyiilaa . Azhą́ t'ááłá'í niitínígo nihits'ą́ądi doo nízaadi hojílǫ́ǫ da nidi ,
44:17:028:0	háálá hwee dahinii'ná , áádóó nidahii'ná , índa dahoniidlǫ́ . T'áá nihí nihitahdóó saad nideich'ąąhii ádadííniid yę́ęgi át'éego , Háálá nihí t'áá aaníí ha'áłchíní daniidlį́ .
44:17:029:0	Diyin God ba'ałchíní daniidlį́įgo , e'elyaii óola áádóó béésh łigaii índa tséda diné t'óó yaa nitsídaazkéezgo dayiichįįhgo ádayiilaa nidi , éí Diyin God nahalin daniidzingo doo bohónéedzą́ą da .
44:17:030:0	Díidíígíí diné doo yaa ákodanízindą́ą́' Diyin God doo bá yił ííłta' da , nidi k'ad t'áá ałtsogóó diné t'áá ádzíłtso yee há has'ą́ągo áháłní , Łahgo át'éego tsíńdahidohkeesgo shich'į' ádił nida'ayoołzíi'ii bits'áhóhkááh .
44:17:031:0	Háálá diné niiníłtíinii ła'a jį́ nihokáá' dine'é ts'ídá t'áá ákogi át'éego yaa nídóot'įįłgo yee nihoní'ą́ . Éí daaztsą́ą́dę́ę́' néidiisáhígíí bee t'áá aaníí ákóhodooníiłgo diné t'áá ałtso bił nibéédahwiizįįhgo áyiilaa .
44:17:032:0	Áko da'aztsą́ą́dę́ę́' náá'diijeeh ha'níigo ha'oodzí'ígíí deidiizts'ą́ą'go , ła' t'óó yá nidahałt'i' , nidi náádaała' éí , Náádanididiits'į́į́ł , dadííniid .
44:17:033:0	Áko Paul hats'ą́ą́' dah diiyá .
44:17:034:0	Nidi diné ła' da'oosdląądgo hodiikai , éí bitahgi Daiyaníshiyas éí Ariyápagasdi hastóí ándaha'áhígíí ła' nilį́įgo áádóó asdzání ła' Dámaris yolyéhígíí índa náádaała' ałdó' hoł da'oosdląąd .
