44:13:001:1	Bárnabas áádóó Saul naanish biniyé nii'nil
44:13:033:0	Éí Jesus daaztsą́ą́dę́ę́' néidiisáhígíí bee danihizhé'é baa deet'ánígíí ba'áłchíní daniidlínígíí k'ad nihá yi'iilaa ; t'áá sin naaki góne'ígíí bee bik'e'ashchínígi át'éego : ShiYe' nílį́ , díí jį́ nishchíinii sélį́į́' ,
44:13:034:0	Áádóó ts'ídá doo adiłdzidjį' jidooleeł dago , dadziztsą́ą́dę́ę́' nááhodiisáhígíí yaa halne'go kóníigo haadzíí' : Dadiyingo índa t'áá aaníígóó bee ak'ihojidlíiiDavid bee bich'į' haasdzíi'ii naa dideesh'ááł .
44:13:035:0	Náánáłahgo ałdó' sin biyi' ánáádí'ní , NiDiyin Nilíinii didoołdziłjį' doo ninádidíí'áał da .
44:13:036:0	Háálá David éí Diyin God íinízinígíí bik'ehgo hodine'é ahoolchíiłii bá nidzis'a'dóó bik'ijį' i'jííłhaazh , áko dahazhé'é yóó'ádaalyaa yę́ę bíighahjį' yóó'áho'diilyaa , áko jidííłdzid ,
44:13:037:0	nidi Diyin God néidiisáhígíí éí t'áadoo dííłdzid da .
44:13:038:0	Éí bąą kwá'ásiní , éí Jesus binahjį' bąąhági át'éii á yóó'ahidit'aahígíí bee nihił hane'go nihił béédahózin le' ,
44:13:039:0	áádóó Mózes yee has'áanii binahjį' t'áá ałtsojį' t'áá ákogi ádanoht'éego Diyin God doo nihá haadziih át'éé nít'éé' yę́ę éí Jesus binahjį' t'ááłá'í jinítínígo da'joodláanii t'áá ákogi ádajít'éego Diyin God há haadzí'ígíí ałdó' nihił béédahózin le' .
44:13:040:0	Éí bąą Diyin God yá dahalne'ii kódadííniidii doo nihik'i dahwiidooleełígíí biniyé ádaa ádahołyą́ :
44:13:041:0	Jó'akon , t'óó á nidahołt'i'go nidaahkaii , t'óó nihił adahayói doo , índa ádadoohdįįł , háálá nihíyoołkááł góne' baa nideeshaałígíí ła'da hazhó'ó yee nihił hoolne' nidi , ts'ídá doo deidoohdląął da .
44:13:042:0	Áádóó Jew dine'é kin bii' áłah ná'ádleehdóó ch'éheeskaigo doo Jew dine'é danilíinii nídahooskango ádahodííniid , Háá'áyį́į́h jį́ náá'ásdlį́į'go díí saad bee nihich'į' hanáádoohdzih .
44:13:043:0	Áko kin bii' áłah ná'ádleehdóó táá'oosdee'go Jew dine'é índa Jew dine'é binahagha' yihidiikaii lą'í Paul índa Bárnabas yikéé' yíkai , áko Diyin God bibee ajooba' yéego yaa dadzólíi dooleełígíí baa nídzooskango bee bich'į' hadzoodzíí' .
44:13:044:0	Háá'áyį́į́h jį́ náá'ásdlį́į'go kin haal'áádóó diné k'asdą́ą́' t'áá ałtso Diyin God bizaad deididoots'į́į́ł biniyé áłah silį́į́' .
44:13:045:0	Nidi Jew dine'é éí t'óó ahayóí áłah azlį́'ígíí dayiiłtsą́ągo t'áá íiyisí dayoołch'į́įdgo , Paul bee hadzoodzí'ígíí doo ákót'ée da daaníigo bizadahóchį' .
44:13:046:0	Áko t'áadoo náhoniyésí Paul índa Bárnabas haadzíi'go ání , Jó , Diyin God bizaad éí t'áá ákónéehee nihí áłtsé bee nihił hodoonih , nidi éí doo danoozį́į́'góó biniinaa iiná doo ninít'i'ii doo bą́ą́h danohłį́į́góó ádąąh tsídasidookééz , éí bąą jó'akon , doo Jew dine'é danilíinii éí bich'į' deet'áázh .
44:13:047:0	Háálá Bóhólníihii yee nihá has'ą́ągo ání : Doo Jew dine'é danilíinii bá adinídíín nílį́į doo biniyé nininíłtį́ , áko nahasdzáán nidanees'ą́ąjį' ał'ąą dine'é bee yisdá'iildéehii bił díínááł .
44:13:048:0	Doo Jew dine'é danilíinii díidíígíí deidiizts'ą́ą'go , bąą bił dahóózhǫǫdgo Diyin God bizaad yaa dahaznih , índa iiná doo ninít'i'ii biniyé nídabi'diisdlá'ígíí da'oosdląąd .
44:13:049:0	Áko Bóhólníihii bizaad éí kéyah bikáa'gi t'áá ałtsogóó baa dahodeezne' .
44:13:050:0	Nidi kin haal'áagi asdzání dahodísinii áádóó ił danilíinii índa diné alááh dahideezíinii éí Paul áádóó Bárnabas atídoolnííł biniyé Jew dine'é hadahoneeshchaad , áko bikéyahdóó ch'ídahoneeshchą́ą́' .
44:13:051:0	Nidi bik'ijį' ninádahidoodleeł biniyé hakee' łeezh bąąh nazhnííłdee'go Aikóniyamdi jiní'áázh .
44:13:052:0	Áko ídahooł'aahii yíní bíighahgo bił dahóózhǫǫd índa Níłch'i Diyinii bii' hadadéébįįd .
