10:2:001:1	David éí Júdah dine'é aláahgo binanit'a'í ályaa
10:2:017:0	Áko íídą́ą́' t'óó báhádzidgo da'ahijoogą́ą'go Ábner índa Ízrel dine'é hasiláo éí David bá nidaal'a'í hak'eh dadeesdlį́į́'. 
10:2:018:0	Zerowáíyah biyáázhké tált'éego atah naakai éí Jó'ab áádóó Abísheiyai índa Éísahel daolyé; Éísahel éí jádí nahalingo jidilwo'. 
10:2:019:0	Áádóó Éísahel éí Ábner yikéé' nídiilwodgo nishtł'ajigo índa nish'náajigo t'áadoo haalyeedí Ábner yikéé' yilwoł. 
10:2:020:0	Áko Ábner t'ą́ą́' nídéét'į́į'go hoołtsą́ągo áhodííniid, Niísh Éísahel ánít'į́? Áko ázhdííniid, Aoo', shí ásht'į́. 
10:2:021:0	Áádóó Ábner áhodííniid, Ninish'náajigo, doodaii' ninishtł'ajigo hanilyeed, áko tsíłkéí ła' yiisiłgo yee naabaahii bighaní'nííł. Nidi Éísahel t'áá hakéé' yilwoł. 
10:2:022:0	Nít'éé' Ábner éí Éísahel ánéidoo'niid, T'áadoo shikéé' ahidíínízį́įgo yílwołí. Ha'át'íísh biniyé naa'aníjíshxaał dooleeł? Haash yit'éego nínaaí Jó'ab bidááhdóó nideeshááł? 
10:2:023:0	Nidi doo t'áá k'ad hak'ee'ąą haalwodgóó hakéé' yilwołgo Ábner bitsiidétáán bikée'jigo hatsą́ą́' biyaa góne' hagháinísxi', áko t'áá ákwe'é naa'ajíígo'go dadziztsą́, índa t'áá ałtso hakéé' deíjeehígíí naa'ajíígo'go dadziztsáníjį' niníjéé'. 
10:2:024:0	Jó'ab áádóó Abísheiyai ałdó' Ábner yikéé' ná'ahidíníilchxą́ą́', éí k'adę́ę e'e'aahgo Gíbiyan honoojí bíighahdi Gáíyah bich'į'góó Éímah yílk'idjį' bikéé' ahizhneelchxą́ą́'. 
10:2:025:0	Áádóó Bénjamin dine'é ahí'ahiiltį́įgo Ábner yikéé' dah diijée'go wók'ą́ągi yíl'á. 
10:2:026:0	Áko Ábner éí Jó'ab yich'į' ádííniidgo ání, Da' diltłishísh bee hool'áágóó í'ooldįįł doo? Da' díísh doo nił bééhózin da? Ahigą́ bik'i deekaijį' ts'ídá t'áá íiyisí yínííł bik'ená'ígée' dooleeł. Haa nízahdishą' índa diné bik'isóó yikéé' nahaakaígíí, K'adí, bididííniił? 
10:2:027:0	Jó'ab ádííniid, Ts'ídá t'áá aaníí Diyin God hiná; ákót'éego t'áadoo háínídzíí'góó ts'ídá t'áá aaníí hoos'įįdjį' diné nílááhgóó anídahaaskaigo bik'isóó danilíinii doo yikéé' nahaakai da doo nít'éé'. 
10:2:028:0	Áádóó Jó'ab deenásts'aa' bidee' bee í'dílzoołí yee ádííniidgo diné t'áá ałtso t'óó ádahodiilzee'; Ízrel dine'é yikéé' t'áadoo nááhideeskai da índa t'áadoo yił nááda'ahoogą́ą' da. 
10:2:029:0	Ábner áádóó diné yił naakaígíí t'áá bił tł'éé' bíighah Árabah dzígaigóó bił jookahgo Jórdan tooh ha'naa nijíkaigo Bíthran nahós'a'góó ch'íjíkaigo Méíhanéíyim kin shijaa'jį' nijíkai. 
10:2:030:0	Áádóó Jó'ab éí Ábner bikéé' jiyoodááł yę́ę t'óó t'ą́ą́' nídzídzá áádóó diné t'áá ałtso áłah ájiilaago David bá nidaal'a'ígíí náhást'éíts'áadahgo Éísahel t'áá bił nidabi'diztseed lá. 
10:2:031:0	Nidi David bá nidaal'a'í éí Bénjamin dine'é Ábner yikéé' tádíkáahii táadi neeznádiindóó ba'aan hastą́diingo nideistseed. 
10:2:032:0	Áádóó Éísahel éí Béthlehem kin shijaa'di bizhé'é yóó'ályaa yę́ędi yóó'ábi'diilyaa. Áádóó Jó'ab índa diné yił naakaígíí tł'éé' bíighah yikahgo ha'íí'ą́ągo Hííbran kin haal'áajį' nákai.
