44:19:001:1	Pen . xix .
44:19:015:0	A’r yspryt drwc a atepawdd , ac a ddyvot Yr Iesu a gydnabyddaf , ac Paul a adwaenaf : anid pwy yty‐chwi ?
44:19:016:0	A’r dyn ydd oedd yr yspryt drwc ynthaw , a gyrchawdd arnwynt , ac ei gorchvygawdd , ac a orthrechodd yn y herbyn wy , yn y chiliesont allan or tuy , yn noethion ac yn glwyfedig .
44:19:017:0	A’ hynn vu hynot gan yr oll Iuddaeon a’r Groecwyr hefyt , a’r oedd yn preswiliaw yn Ephesus , ac e ddygwyddawð ofn ar bawp o hanwynt , ac Enw yr Arglwydd Iesu a vawrhawyt .
44:19:018:0	Ac llawer o’r ei oedd yn credy , a ddaethant ac gyffesasont , gan ddangos ei gweithredoedd .
44:19:019:0	Llawer hefyt o’r ei oedd yn arver o gelfyddodæ‐manolwaith , a dducesont ei llyfrae , ac ei llosge‐sont yn‐gwyð yr oll popul , ac wrth gyfrif ei gwerth , ei cahad yn gyvverthydd pemp myrð o vathæ ariant .
44:19:020:0	Velly mor gadarn y tyfawdd gair Dew , ac yr ymgryfaodd .
44:19:021:0	Yn awr wedy cyflawny hynn yma , y propasoð Paul trwy ’r yspryt teithiaw trwy Macedonia ac Achaia , a’ mynet i Caerusalam , can ddywedyt , Gwedy bwyf ynaw , rhait i mi hefyt welet Ruuain
44:19:022:0	Yno yd anvones ef i Macedonia ddau o’r ei oedd yn ei weini , sef Timotheus ac Erastus , ac ef e a aroses yn Asia dros amser .
44:19:023:0	Ac yn y cyfamser hyny y cyfodes cythrwbyl nyd bychan o bleit y fforð hono .
44:19:024:0	Can ys neb gwr ai enw . Demetrius , gof ariant , yr hwn a wnai demplae ariant Diana , yr hvvn oedd yn peri elw nyd bychan ir crefftwyr :
44:19:025:0	Yr ei wedy iddo ei galw ir vn‐lle , y gyd a gweithwyr yr cyfryw bethae , a’ ddyvot , Ha‐wyr , ys gwyddoch may wrth y gwaith hwnn y perir caffaeliat y ni .
44:19:026:0	Pellach chvvi welwch ac a glywch , pan yw nad yn vnic yn Ephesus , anid can mwyaf trwy’r oll Asia yr annohes , ac y traws droses y Paul hwnn lawer o popul , gan ddywedyt , Nad ynt wy ddewiae ’rei wnelir a dwylaw .
44:19:027:0	Yd nad yw yn vnic bot y rhann hyn yn periclus y nyni , rrac argyhoeddy y cymeriat , eithyr hefyt rac bot am dempl y vawr ddewies Diana ei ðiystyry , a’ rac dyvot hefyt destryw ar vawrhydi hon , y mae’r oll Asia a’r byt yn hi addoli .
44:19:028:0	A’ phan glywsant wy hynn , yr oeddent yn llawn digofeint , gan ddolefain , a’ ddywedyt , Ys mawr Diana yr Ephesiait .
44:19:029:0	A’r oll ddinas a gyflawnwyt o wradwydd , a’ rhuthraw a wnaethant ir orseddfa o gytundab , a’ dalha Gaius , ac Aristarchus , Macedonieit , a’ chyd‐ymddeithion Paul .
44:19:030:0	A’ phan ytoedd Paul yn ewyllysio mynet y mewn ymysc y popul , ny’s gadawdd y discipulon yddaw .
44:19:031:0	A’r ei hefyt o pendevigion Asia a’r oeðent yn gereint iddo , a ddanvonesont ataw , gan ðeisyfy arnaw na’d ymddangosei yn yr ’orseðfa .
44:19:032:0	Yr ei wrth hyny a lefent vn‐peth , ar ei peth arall . Can ys y gynulleidfa oedd eb drefn , a’ rhan vwyaf ny wyddent o bleit pa beth yd aethent yn‐cyt .
44:19:033:0	A’r ei o’r tyrfa a luscesont canthwynt Alexander , a’r Iuddaeon yn ei wthiaw racddaw . Yno Alexander a amneidiodd a llaw , ac a vynesei escusodi y peth wrth y popul .
44:19:034:0	Eithyr pan wybuont may Iuddew oedd ef , cody a wnaeth ymleflef dros yspait dwy awr hayachen , gan bawp yn llefain , Ys mawr Diana yr Ephesieit .
44:19:035:0	Yno yscoleic‐y dinas gwedy iddo lonyddu ’r popul , a ddyvot , Ha‐wyr yr Ephesieit , pa ddyn ’sydd ny wyr bot dinas yr Ephesieit yn a ddolydd y vawr ddewies Diana , a’r ddelvv , a ðescenawdd y wrth Iupiter ?
44:19:036:0	A’ chan na ddygon nep ddywedyt yn erbyn y pethae hynn , iawn i chwy ymlonyddy , ac na wneloch ddim yn wylltpwyll .
44:19:037:0	Can ys dugesoch yma y gwyr hynn , yr ei nid ynt na themplherwyr nac yn caply eich dewies .
44:19:038:0	Erwydd paam ad oes gan Demetrius na ’r crefftwyr y’sy gyd ac ef vn hawl yn erbyn neb , y mae cyfraith yw chael , ac may Raglawyeit : ymcyhuddant y gylydd .
44:19:039:0	Eithyr ad ywch yn ymofyn dim am bethae ereill , ei tervenir mewn cymynfa gyfreithlawn .
44:19:040:0	Can ys in peryclir rac ein argyhoedddy am y derbysc heddyw , erwydd nad oes vn achos y gal’wn roi rreswm am y cynnired hyn o’r popul .
44:19:041:0	Ac wedy iddo ymadrod velly , y maddeuawdd ef y gymunfa ymaith .
