44:4:001:1	Pen . iiij .
44:4:022:0	Can ys yð oedd y dyn yn vwy no dauugain blvvydd oed , y gwneythit y gwyrthiae yma or iachay arnaw .
44:4:023:0	Yno wedy daroedd gyntaf ei gellwng ymaith , yd aethant at ei cyueillon , ac venagesont yr oll bethae’ry vesei ir Archoffeiriait a’r Henyðion ei ddywedyd wrthwynt .
44:4:024:0	A’ phan ei clywsant vvy , derchafy ei llef ar Ddew a wnaethant yn vnvryd , a’ dywedyt , Arglwydd , ti yw ’r Dew r’y wnaethost nef a’ ddaiar , a’r mor a’ chymeint oll ys ydd ynthwynt ,
44:4:025:0	yr hwn trwy enae dy was Dauid a ddywedeist , Paam ydd ymgynddeiriogodd y Cenetloedd , ac y meddyliawdd y popul bethæ gweigion ?
44:4:026:0	Brenhinedd y ddaear a ymgasclesont , a’r llywiawdron a ddaethant yn‐cyt , yn erbyn yr Arglwydd , ac yn erbyn y Christ ef .
44:4:027:0	Can ys yn wir yn erbyn dy sanct Vap Iesu , yr hwn a enneiniaist yð ymgymiullawdd Herod ac Pontius Pilatus y gyd a’r genetloedd a phopul yr Israel ,
44:4:028:0	i wneythy’r beth bynac a ddaroedd ith law ac ith gygcor di racdervyny ei wneythy’r .
44:4:029:0	Ac yn awr Arglwydd , edrych ar ei bygylae , a’ chaniatha ith weison ymadrodd dy air yn gwbyl hyderus , y n y bo yty estyn dy law ,
44:4:030:0	yd pan yw bot gwneythy’r iachay , ac arwyddion a’ ryveddodae drwy Enw dy sanct Vap Iesu .
44:4:031:0	A’ gwedy yðwynt weddiaw , y cyffroawdd y lle ydd oeddent wedy’r ymgynnull , ac y cyflawnwyt wy oll o’r Yspryt glan , ac wy a ymadroddesont ’air Dew yn hyderus .
44:4:032:0	A’ lliaws yr ei oedd yn credy , ytoeddd o vn galon , ac un enait : ac ny ddyvot yr vn o hanwynt am ddim oll a veðei , ei vod yn eiddaw ehun , amyn bot pop peth yn gyffredin ganthwynt .
44:4:033:0	Ac a mawr gadernit y rhoes yr Apostolon testiolaeth cyfodiat yr Arglwydd Iesu , a’ rrat mawr ytoedd arnwynt oll .
44:4:034:0	Ac nid oedd vn yn ei plith , ac eisie arno : can ys cynniuer ac oedd yn meddy tiredd nai tai , ei gwerthy a wnaethāt , a’ dwyn gwerth y pethae y werthit ,
44:4:035:0	a’ei ’osot ilawr wrth draet yr Apostoliō . A’ rhanny a wneit i bop vn , megis ydd oedd yn rhait iddaw vvrtho .
44:4:036:0	Ac Ioses yr hwn a elwit y gan yr Apostolon Barnabas ( ys ef yw hyny o ei ddeongl map diddanwch ) oedd yn Leuit ac o vvlad Cyprus ,
44:4:037:0	o enedigaeth , ac ef yn perchenawc tir , ei gwerthawdd , ac a dduc yr ariant , ac ei gesodes wrth draet yr Apostolon .
