44:21:001:1	Pen . xxj .
44:21:023:0	Can hyny gwna hyn yma a ðywedwn wrthyt , Mae genym pedwar‐gwyr a wnaethant eðunet .
44:21:024:0	Cymer hwynt , a’ glanha dy hun y gyd ac wynt , a’ chyd gostia a’ hwy , yd y n yd eilliant ei pennae : a’ gwybot a gaiff pawp , am y pethae y glywsant am danat , nad ynt dim , eithyr dy vot titheu hevyt yn rhodio ac yn cadw yr Ddeddyf .
44:21:025:0	Can ys tu ac at am y Cenedloedd , ys ydd yn credu , nyni a escrivenesam , ac a varnesam na bo yddwynt gadw dim cyfryw beth , eithyr ymoglyt o hanynt rac y pethe ’ry offrymer ir delwae a’ rac gwaet , ac ywrth y degir , ac ywrth godineb .
44:21:026:0	Yno Paul a gymerawdd y gwyr , a’ thranoeth yr ymlanhaodd e y gyd ac wynt , ac ydd aeth y mewn ir Templ , gan espysy cyflawniat dyddiae yr glanhaat , yd y n y d offrymit offrwm dros bob vn o hanaddvvynt .
44:21:027:0	A’ gwedy gorphen hayachen y saith diernot , yr Iuddaeon a’r oeddynt o’r Asia ( pan welesant ef yn y Templ ) a gynhyrfesant yr oll popul , ac a ddodesont ddwylo arnaw .
44:21:028:0	Can lefain , Ha‐wyr yr Israel cymporthwch : hwn ywr dyn ys ydd yn dyscy pawp ym‐pop lle yn erbyn y popul , a’r Ddeddyf , a’r lle yma : eb law hyny , e dduc Groec wyr ir Templ , ac a halogawð y lle sanctaidd hwn .
44:21:029:0	Can ys gwelesent or blaen yn y dinas gyd ef vn Trophimus o Ephesus , a ’thybiet mae Paul y ducesei ef ir Templ .
44:21:030:0	Yno y cyffrowyt yr oll ddinas , ac y rreddodd y popul yn‐cyt : ac a ymavlesont ym‐Paul , ac ei tynnesont allan o’r Templ , ac yn y man y caewyt y drysae .
44:21:031:0	Ac val ydd oeddent yn caisio y ladd ef , y managwyt i bencaptaen y giwdawt , bot oll Gaerusalem wedy’ thervyscy .
44:21:032:0	Ac yn y van ef gymerawdd vilwyr a’ Chanwriait , ac a redawdd y waeret yd atwynt : a’ phan welsant y pen‐Captaen a’r milwyr , wy beidiesont a bayddy Paul .
44:21:033:0	Yna y daeth y pen‐Captaen yn nes ac y daliodd ef , ac a ’orchymynawdd ei rwymo a dwy catwyn , ac a holodd pwy ytoedd ef , a ’pha beth a wnaethoeddoedd .
44:21:034:0	A’r ei a lefynt vn peth , ereill beth arall , ym‐plith y popul . Velly pryd na vedrei ef wybot crynodab rac y dervisc , e ’orchymynawdd ei dywys ir castell .
44:21:035:0	A’ gwedy y ddyvot ef ir grisi ae , e ddarvu gorvot y ðugy ef gan y milwyr rac ymffust y dyrfa .
44:21:036:0	Can ys y dorf popul oeð yn ei ddilit , can lefain , Ymaith ac ef .
44:21:037:0	A’ phan ddechreuit arwein Paul ir castell , e ðyvot wrth y pen‐Captaen , A alla vi gahel ymðiddam a thi ? Yr hwn a ddyvot , A vedry di groec ?
44:21:038:0	Anyd tydi yw ’r Egyptian , yr hwn o vlaen y dyddiae hynn a gyffroeist dervysc , ac a arweneist ir diffeithvvch pedeirmil o wyr llofryddiawc .
44:21:039:0	Yna y dyvot Paul , Yn ddiau , gwr wy vi o Iuddew , a’ dinesyð o Tarsus , dinas nid anenwoc yn Cilicia , ac atolwc yty , goddef ymy amadrodd wrth y popul .
44:21:040:0	Ac wedy daroedd iddaw ganiady , y safawdd Paul ar y grisiae , ac a amnaidiawdd a llaw ar y popul : a’ gwedy gwneythy gostec vawr , y llavarawdd wrthynt yn y tavot Hebreo , gan ðywedyt ,
