44:26:001:1	Pen . xxvj .
44:26:013:0	ar hanner dydd , a’ Vrenhin , ar y ffordd y gwelais leuver or nefoedd , yn ragori ar ddysclaerdap yr haul , yn towynny om amgylch , mi ar ei oeðynt yn ymðeith y gyd a ni .
44:26:014:0	A’ gwedy daroedd y ni oll ddygwyddo ar yddayar , y clywais lef yn llavaru wrthyf , ac yn dywedyt yn‐tavot Hebreo , Saul , Saul , paam im erlidy ? Calet yw yty wingo yn erbyn y swmbylae .
44:26:015:0	A’ mineu ddywedais , Pwy ytwyt Arglwyð ? Ac yntef ddyvot , Myvi yw Iesu yr hwn wy ti yn ei erlit .
44:26:016:0	Eithyr cyvod y vyny a’ sa ar dy draet : can ys er mwyn hynn yr ymddangoseis yty sef er dy ’osot ti yn’wenidawc ac yn test , ys am y pethae’ry weleist , ac am y pethae yn yr ei y ymddangosaf yty ,
44:26:017:0	gan dy waredy y wrth y popul , ac ywrth y Cenedloedd , at pa ’r ei yd anvonaf yr awrhon ,
44:26:018:0	er yty agory ei llygait , ac ymchwelyt o hanwynt y wrth dywyllwch i ’oleuni , ac ywrth veðiant Satan ar Ddew , yn y dderbyniont vaddeuant pechotae , ac etiveddiaeth ym‐plith yr ei , a sancteiddiwyt trwy ffydd yno vi .
44:26:019:0	Am hyny , Vrenhin Agrippa , nid anvfyddheis i ir weledigaeth nefawl ,
44:26:020:0	anid dangos yn gyntaf ydd wyntwy o Damasco , ac yn‐Caersalem , a’ thrwy oll orwlat Iudaia , ac yno ir Cenedloedd , er yddwynt edivarhay , ac ymchwelyt ar Ddew , a’ gwneythy gweithredoedd a vei teilwng i wellaat buchedd .
44:26:021:0	Am yr achos hynn yr amavlawdd yr Iuddaeon ynof yn y Templ , ac a geisiesont vy lladd .
44:26:022:0	Er hyny mi gefeis borth y gan Ddew , ac wyf yn aros yd y dydd hwn , gan destolaethy ac i vychan a’ mawr , ac eb dywedyt dim amgen no’r pethae y ðyvawt y Prophwyti a’ Moysen y delei , ys ef yvv hyny ,
44:26:023:0	bot i Christ ddyoddef ac yðaw ef vot yn gyntaf a gyvotai o veirw , ac a ddangosei ’oleuni ir popul , ac ir Cenedloedd .
44:26:024:0	Ac mal ydd oedd ef yn atep hynn drostaw ehun , y dyvot Festus a llef vchel , Paul , ydd wyt yn ynvydu : lliaws o ðysc syð ith wneythy’r yn ynvyd .
44:26:025:0	Ac yntef ddyvot Nyd wyf wedy ynvydy , arðerchawc Festus eithr gairiae gwirionedd a’ sobrwyð wyf yn ei hadroð .
44:26:026:0	Can ys gwyr y Brenhin am y petheu hyn , ger bron yr hwn hefyt ydd wyf yn cympwyll yn hyf , ac ydd wyf yn tybieit nad oes dim or pethe hynn yn guddiedic rac ðaw ef : can na wnaethant hynn yma mewn congyl .
44:26:027:0	A Vrenhin Agrippa , a gredy di y Prophwyti ? Mi wnn dy vot yn credy .
44:26:028:0	Yno y ’saganei Agrippa wrth Paul , Yðwyt o vewn ychydic im annoc y vot yn Christian .
44:26:029:0	Ac Paul a ddyvot , Mi ddamunwn gan Dew nid yn vnic y tydi , namyn a’ phavvp oll ys ydd im clywet i heddyw , eich bot ac o vewn ychydic ac yn gwbyl oll yn gyfryw ac ydd wyf vinef diethyr y rrwymae hynn .
44:26:030:0	Ac wedy yddaw ddywedyt hyn , y cyvododd y Brenhin i vynydd , a’r President , ac Bernice , a’r ei oedd yn cyd eistedd ac wynt .
44:26:031:0	Ac wedy yddwynt vyned o’r ailltu , wynt a gympwyllesont yn ei plith ehunein , gan ddywedyt , Nid yw’r dyn hwn yn gwneythy dim teilwng o angae , na rrwymae .
44:26:032:0	Yno y dyvot Agrippa wrth Festus , Ef ’ellit gellwng y gwr hwnn , pe na bysei iddaw appelo ar Caisar .
