44:20:001:1	Pen . xx .
44:20:018:0	Yr ei pan ddaethant ataw , ef a ddyvot wrthwynt , Chwichvvy wyddoch o’r dydd cyntaf yd aethym i Asia , pa wedd y bum gyd a chwi pop amser ,
44:20:019:0	yn goasonaethy yr Arglwydd gyd ac oll gestyngeiddrwydd‐meddwl , a’ llawer daigr , a’ phrovedigaethae , yr ei a ddescenesont y mi gan gynllwyne yr Iuddaeon ,
44:20:020:0	ac val na ’ommeddeis ddim ar oedd gyfles , amyn ei vanegy y chwy , a’ch dyscy yn ’oleu , ac ar hyd pop tuy ,
44:20:021:0	gan testiaw ys ir Iuddaeon , ac ir Groecwyr yr ediveirwch tu ac at Ddew , ac ffydd ar ein Arglwydd Iesu Christ .
44:20:022:0	Ac yn awr wele , vyvi yn rhwym yn yr yspryt yn mynet i Gaerusalem , eb wybot pa beth a ddervydd y my‐ynthei .
44:20:023:0	Anid bot yr Yspryt glan yn testiaw ym‐pop dinas , gan ddywedyt , bot rhwymae a’ blinderoedd yn vy aros .
44:20:024:0	Eithyr nad wy vi yn gwneythy dim devnydd , ac nid oes genyf vri ar vy‐bywyt vyhun , a’s gallaf ’orphen vy‐cerddet gyd a llawenydd , a’r gweinidogaeth yr hwn a dderbyniais y gan yr Arglwydd Iesu , y destolaethy Euangel rrat Dew .
44:20:025:0	Ac yr awrhon wele , mi ’wnn pan yw o hynn allan na bydd y chwi bawp , trwy yr ei y cerddais gan praecethy teyrnas Dew , weled vy wynep mwyach .
44:20:026:0	Erwydd paam eich galwaf yn testolaeth y dydd heddyw , vy‐bot i yn ’lan y wrth waet pavvp oll .
44:20:027:0	Can na childynnais i ddim , rac dangos ychwy oll gyccor Dew .
44:20:028:0	Edrychwch gan hyny arnoch eeich hunain , ac ar yr oll ddevait , ar yr ei y gwnaeth yr Yspryt glan chwi yn Olygwyr , i borthy Eccles Dew , yr hon a bwrcasodd ef aei briawt waed .
44:20:029:0	Can ys mi a wn hyn , yn ol vy mynediat , y daw bleiddiae trymion , yn eich plith , eb eiriach y devait .
44:20:030:0	Eb law hynny , o hanoch eich hunain y cyvyd gwyr a adroddant bethae trawsion , y dynny discipulon ar ei hol .
44:20:031:0	Am hyny gwiliwch a’ meddyliwch , pan yw tros yspait tair blynedd na pheidiais i a rhybyddio pop vn , ðydd a’ nos a daigrae .
44:20:032:0	Ac yr awrhon vroder , eich gorchymynaf i Ddeo , ac i air y rat ef , yr hwn ys yð abyl y adeiliat angwanec , a’rhoi y chwy etiueddiaeth ymplith yr oll rei , ys ydd wedy ei sancteiddio .
44:20:033:0	Ariant neu aur nai gwisc nep ny chupyddais .
44:20:034:0	Ac chwychvvi a wyddoch , bot i’r dwylo hynn arweini im angenreidiae , ac ir ei oedd gyd a mi .
44:20:035:0	Yr oll bethae a ddangoseis y‐chwy , p’odd gan weithiaw velly , y dylech gynnal y gweiniaid , a’ choffa geiriae yr Arglwydd Iesu , can yddaw ef ddywedyt , Gwynvydedic yw rroddy yn hytrach no derbyn .
44:20:036:0	Ac wedy yddo ddywedyt hyn , y gestyngawdd ar ei ’liniae , a’ gweddiawdd y gyd ac wynt oll .
44:20:037:0	Yno yr wylesont wy oll yn ddirvawr , ac y rhuthresont yn‐mwngl Paul , aei gyssany ,
44:20:038:0	gan ymovidio yn bennaf o bleit y gairiae a ddywedesei ef , Na chaffent vvy welet y wynep e mwyach Ac vvy ei cynhebryngesant i’r llong .
