44:5:001:1	Pen . v .
44:5:018:0	ac a ddodesont ddwylo ar yr Apostolion , ac ei dodesont yn y carchar cyffredin .
44:5:019:0	Eithyr Angel yr Arglwydd , o hyd nos agorawdd ddrysae yr carchar , ac y duc wy allan , ac a ddyvot ,
44:5:020:0	Ewch ymaith , a’ sefwch yn y Templ , a’ llavarwch wrth y popul oll ’airie’r vuchedd hon .
44:5:021:0	Wythe pan glywsant hynn yma , a aethant y mewn ir Templ yn vorae ac a ddyscesont y vverin . A’r Archoffeiriait a ddaeth , a’r ei oedd gyd ac ef , ac a alwesont y Cygcor yn‐cyt , ac oll Henafieit plant yr Israel , ac a ddanvonesont rei ir carchar i beri y dwyn wy .
44:5:022:0	Anid pan ddaeth y swyddogion , ac eb y cahel hvvy yn y carchar , ymchwelyt a’ manegy a wnaethant ,
44:5:023:0	gan ddywedyt , Diau gahel o hanam ni y carchardy yn gaead yn dra diescaelus , a’r ceidweit yn sefyll allā , rac y drysae : eithyr gwedy i ni ei agori , ny chawsom ni neb y mewn .
44:5:024:0	Yno gwedy ir archoffeiriat , ac llywodraethwr y Tēpl , a’r Archoffeiriait glywed y pethae hynn , petrusaw am danwynt a wnaethant , pa beth a vyddei o hyn .
44:5:025:0	Yno yd aeth vn , ac a venagawdd yð‐wynt , gan ddywedyt , Nachaf , y gwyr y ddodesoch yn‐carchar ynt yn sefyll yn y Templ , ac yn dyscy yr popul .
44:5:026:0	Yno ydd aeth y llywyawdraethwr ef a’r swyddogion , ac y duc hwy yn ddysarhaet , ( can ys yð oedd arnwynt ofn y popul , rac y llapyðit wy )
44:5:027:0	A’ gwedy yðwynt y dwyn hwy , wy ei gesodesont ger bron y Cygcor , a’r Archoffeiriat a ovynawdd yddwynt ,
44:5:028:0	gan ðywedyt , A ny orchymynesam ni yn gaeth ychwy , na ddyscech nep yn yr Enw hwnn ? ac wele ys darvu ychwy lanwy Caerusalem aeich dysc , a’ chwi vynnech ddwyn gwaet y dyn hwnn arnam .
44:5:029:0	Yno Petr a’r Apostolon atebesant , ac a ddywedesont , Dir yw yni vfyddhay yn vwy i Ddew nac i ddynion .
44:5:030:0	Dew ein tadae a gyvodes Iesu y vyny yr hwn a laddeso‐chwi , ac a grocessoch ar brenn .
44:5:031:0	Hwnn a dderchavodd Dew a ei ddehaulaw , i vot yn Dywysawc ac yn Iachawdur , y roddy ediveirwch ir Israel , a’ maddeuant pechatae ,
44:5:032:0	Ac ydd ym ni yn testion iðo am y pethae hyn y ddywedwn : ac hefyt yr Yspryt glan , yr hwn a roddes Dew ir ei a vfyðaant iddo .
44:5:033:0	A’ phan glywsant wy hyn , wy doresōt ar ei traws rac dic , ac ymgygcoresont yvv lladd hwy .
44:5:034:0	Yno y cyvodes y vynydd yn y Cygcor neb Pharisai , a’ ei enw Gama‐liel , athro or Ddeddyf , vn parchedic gan yr oll popul , ac a ’orchymynawdd beri enciliaw ar Apostolon allan ychydigyn ,
44:5:035:0	ac a ddyvot wrthwynt , Hawyr yr Israelieit , edrychwch arnoch eich hunain pa beth a wneloch am y dynion hynn .
44:5:036:0	Can ys o vlaen y dyddiae hynn , y cyfodes vn Theudas , gan ymffrostio , ac attaw yr ymwascawdd o rivedi gwyr , yn‐cylch petwar‐cant , ac ef a las : ac wynt y oll oedd yn coelio iddaw , a ’oyscarwyt , ac a ddiddimiwyt .
44:5:037:0	Yn ol hwn y y codes Iudas o’r Galelaia , yn‐dyddiae yr teyrnget , ac ef a droses bopul liosawc yn ei ol : ef e hevyt a gyfergollwyt , a’ chynniuer ac a gydsynniawdd ac ef , a hylltranwyt .
44:5:038:0	Ac yr awrhon y dywedaf wrthych , Enciliwch y wrth y dynion hynn , a’ gedwch yddwynt lonydd : cans ad yw yr cygcor , hyn ai weithred hon o ddynion , ei goyscerir :
44:5:039:0	eithr a’s o Ddew y mae , ny ellwch ddim oi ddinistrio , rac bot eich caffael yn ymladdwyr‐yn‐erbyn‐Dew .
44:5:040:0	A’ chytuno ac ef a wnaethāt , a’ galw yr Apostolon : a’ gwedy yðwynt beri ei fustaw , y gorchymynesont na lauarent yn enw yr Iesu , a’ ei gellwng ymaith a wnaethant .
44:5:041:0	Ac wynteu aethant ymaith o geyr bron y Cygcor , gan ymlawenhay can ys ei teilyngy y gael ei amperchi dros y Enw ef .
44:5:042:0	Ac beunydd yn y Templ , ac o duy y duy ny pheidiasant a dyscy a’ phregethy o Iesu y Christ .
