44:2:001:1	Pen . ij .
44:2:023:0	hwn meddaf a gymersoch trwy ddwylaw yr enwirieit , wedi ei roddi gan dervynedic gyccor , a’ rac wybodaeth Dew , a grogesoch ac a laddesoch :
44:2:024:0	Yr hwn a gyvodes Dew i vynydd , ac e ellyngawdd ddoluriae angae , can ys anpossibil oedd ei attal ef ganthaw .
44:2:025:0	O bleit Dauid a ddywait amdanaw , Yr Arglwydd a racwelais yn wastad ger vy‐bron , can ys ar vy‐deheulaw y mae , mal nam cyffroer .
44:2:026:0	Am hynn y llawenhaoð vy‐calon , ac y bu ’orvoledd gan vy‐tavawd , ac pellach y gorffywys vy‐cnawd yn‐gobeith .
44:2:027:0	Can na adawy vy eneit yn y bedd , ac na ’oddefy dy Sanct y welet llwgrydigaeth .
44:2:028:0	Eglureist y my ffyrdd y bywyt ac am cyflawny o lewenydd ath wyneppryd .
44:2:029:0	A wyr vroder , mi allaf gympwyll yn eon , wrthych am y Patriarch Dauid , pan yw darvot i varw a’ei gladdy , a’ bot ei vedrod gyd a nyni yd y dydd heddyw .
44:2:030:0	Can hynny , ac ef yn Prophwyt , ac yn gwybot dyngy o Ddew iddaw a’ llw , mae o ffrwyth ei lwyn ef , y cyvodei ef Christ i vynydd erwydd y cnawd aei ’osot ar ei eisteddfa ,
44:2:031:0	efe yn gwybot hyn ymblaen , a bwyllawdd am gyfodiadigeth Christ , na edawit y enait ef yn y beddrod , ac na byddei , y ei gnawt welet llwgrydigeth .
44:2:032:0	Yr Ieshu hwn a gyvodes Dew y vynydd , i ba vn ydd ym ni oll yn testion .
44:2:033:0	Can ddarvot yntae i ðerchavael ef trwy ddeheulaw Dew , ac yddaw dderbyn gan ei dat addewit yr Yspryt glan , y dineawð ef yr hyn yma yn awr a welwch ac a glywch .
44:2:034:0	Can nad escennawdd Dauid er nef , eithyr ef a ddywait , Yr Arglwydd a ddyvot wrth vy Arglwydd , Eistedd ar vy‐dehaulaw ,
44:2:035:0	yn y osotwyf dy ’elynion yn droetvainc yty .
44:2:036:0	Wrth hyny , gwybyddet oll tuy yr Israel yn ddiogel , bod i Ddew y wneythyt ef yn Arglwydd ac yn Christ , ys ef yr Iesu hwn , yr vn a groceso‐chwi .
44:2:037:0	Yn ol yddynt clywet hynn , y brethit wy yn ei calonae , ac ei dywedynt wrth Petr a’r Apostolon yr eill , A wyr vroder , pa beth a wnawn ?
44:2:038:0	Yno y dyvot Petr wrthwynt , Gwellewch eich buchedd , a’ batyddier pop vn o honawch yn Enw yr Arglwydd Iesu Christ er maddeuant pechatae , a’ chwi a dderbynywch ðawn yr Yspryt glan .
44:2:039:0	Can ys yr a ddewit a vvnaethpvvyt y chvvychwy , ac y eich plant , ac i bawp y sydd ym‐pell , ys ef pwy rei bynac y ’alwo yr Arglwydd ein Dew arnynt .
44:2:040:0	Ac a llawer o eiriae eraill y testolaethawð , ac yr eiriolawdd arnvvynt , gan ddywedyt , Ymgedwch rac y genedlaeth anhydyn hon .
44:2:041:0	Ac yno yr ei a dderbynyent yn llawen y amadroð ef , a vatyddiwyt : a’r dydd hwnw y dodwyt vvrth yr eglvvys yn‐cylch tair mil o eneidiae .
44:2:042:0	A’ pharhay a wnaethant yn‐dysc yr Apostolō , a’ chymddeithas , ac yn tori bara ac yn‐gweddion ,
44:2:043:0	Ac e gyvodes ofn ar bop enait : a’ llawer o ryveddodae ac arwyddion y wnaethpwyt y gan yr Apostolon .
44:2:044:0	A’ phawp ar y gredent , oedd yn yr vn lle , a’ phob peth oedd ganthwynt yn gyffredin .
44:2:045:0	Ac wy werthesōt ei perchenogaethae a’ ei daoedd , ac ei parthesant i bawp , megis ac ydd oedd yr eisiae ar pop vn .
44:2:046:0	Ac aros ydd oeddent beunydd yn vnvryd yn y Templ , ac yn tori bara gartref , ac yn cymeryt bwyt yn‐cyt , mewn llewenydd a symplder calon ,
44:2:047:0	gan voli Dew , ac yddwynt gariat gan yr oll popul : A’r Arglwydd a angwanegawdd i’r Eccleis beunydd , cyfryw ac a vyddent cadwedic .
