44:7:001:1	Pen . vij .
44:7:012:0	Eithyr pan glybu Iaco vot yd yn yr Aipht , e danvonawdd ein tadae yn gyntaf .
44:7:013:0	A’r ailwaith , yr adnabuwyt Ioseph gan ei vroder , a’ chenedl Ioseph aeth mewn cydnabot a Pharao .
44:7:014:0	Yno yd anvones Ioseph genadon ac a barawð ymoralvv am ei dad Iaco , ef a ei oll genedl , nid amgen pempthec a thri‐ugain enaidie .
44:7:015:0	Yno y ddaeth Iaco y waered ir Aipht , ac y bu varw , ef a ein tadae ,
44:7:016:0	ac ydd ysmutwyt hwy i Sychem , ac ei dodwyt yn y bedd y brynesei Abraham am arianvverth y gan veibion Emor vap Sychem .
44:7:017:0	A’ phan ytoedd amser yr addewit yn dynesay , yr hwn a dyngesei Dew wrth Abraham , y tyfawdd y popul ac y lliawsocawdd yn yr Aipht ,
44:7:018:0	yd pan gyvodes Brenhin arall , yr vn nyd oedd yn adnabot Ioseph .
44:7:019:0	Hwn yma vu ddichellgar wrth ein Ryw ni , ac a ðrygawdd ein tadae , ac a barawdd yddynt vwrw allan ei plant newyddian , val na chaffent vot yn vyw .
44:7:020:0	Ac yn y cyfamser hyn y ganet Moysē , ac ydd oedd ef yn gymradwy gan Ddew , yr hwn a vagwyt dri‐mis yn tuy ei dat .
44:7:021:0	Ac wedy ei vwrw allan , y cyvodes merch Pharao ef y vynydd , ac ei magawdd yn vap yddi ehun .
44:7:022:0	Ac Moysen oedd ddyscedic yn oll ddoethinep yr Aiphtieit , ac ydd oeð yn nerthawc yn‐gairiae ac yn gweithreddedd .
44:7:023:0	A’ phan ytoed ef yn ddauugain‐blwydd llawn , yr escennawdd yn ei galon vynet y ymwelet a ei vroder , plant yr Israel .
44:7:024:0	A’ phan weles ef vn o hanvvynt yn cahel cam , ef ei amddyffynnawdd , ac a ddialawdd gam yr hwn a gawsei yr sarhaet , gan vaeddy yr Aiphtiwr .
44:7:025:0	Can ys tybiawdd ef vot ei vroder yn deall , bot i Ddew trwy y law ef roðy ymwaret yddwyntvvy : ac wythe ny’s dyalldesont .
44:7:026:0	A’r dydd nesaf , yr ymddangosawð yddwynt ac wynt yn cynneny , ac a vynysei ei cymmodi drachefn , gan ddywedyt , A wyr , ydd y‐chwi yn vroder , paam yð yw chwi yn gwneythy cam aei gylyd ?
44:7:027:0	Eithyr yr hwn oedd yn gwneythy cam aei gymydawc , y cilgwthiawdd ef , gan ddywedyt , Pwy ath wnaeth di yn dwysawc ac yn varnwr arnam ni ?
44:7:028:0	A laddy di vinef y moð y lleðeist yr Aiphtiwr ddoe ?
44:7:029:0	Yno y ffoes Moysen ar y gair hwnw , ac y bu yn wr dyvodiat yn‐tir Madian , lle cenedlodd ef ddau o veibion .
44:7:030:0	A’ gwedy cyflawny dauugain blyneð , ydd ymddangoses yddaw yn‐dyffeithvvch mynydd Sina , Angel yr Arglwydd mewn flamm dan , mewn perth .
44:7:031:0	A’ phan weles Moysen , y rhyueddawdd gan y golwc : ac ef yn dynessaw y synnyaw , yd aeth llef yr Arglwydd ataw gan ddvvedyt ,
44:7:032:0	Mi yw Dew dy dadae , Dew Abraham , a’ Dew Isaac , a’ Dew Iaco . Yno ydd echrenawdd Moysen , ac ny veiddiawdd synniaw .
44:7:033:0	Yno y dyvot yr Arglwydd wrthaw , Diosc dy escidiae y dd’am dy draet : can ys y lle yn yr hwn sefy , ys y tir sanctavvl .
44:7:034:0	Gwelais , gwelais ðrugvyd ve‐popul , ys ydd yn yr Aipht , ac a glyweis ei griddfan , ac a ddescennais yw ymwared hvvy : ac yr owon dyred , a’ mi ath ddanvonaf ir Aipht .
44:7:035:0	Y Moysen hwn , yr vn a wrthddodesont vvy , gan ddywedyt , Pwy ath roes di yn dywysoc ac yn varnwr ? hwn yma a ddanvones Dew yn dywysawc , ac yn ymwaredwr trwy law Angel , yr hwn a ymddangosawð iddaw yn y berth .
44:7:036:0	Ef e y duc wy allan , gan wneythy ryveðodae , a’ miracle yn‐tir yr Aipht , ac yn y mor coch , ac yn y dyffeithvvch , dros dauugain blyddet .
44:7:037:0	Llyma yr Moysen , yr hwn a ddyvot wrth plant Israel , Prophwyt a gyvyt yr Arglwydd eich Dew y chwy , ys ef o’ch broder , vn mal mivi : hwnw a wrandewch .
44:7:038:0	Hwn yw ef a vu yn y Gynnullleidfa , yn y diffeithvvch y gyd a’r Angel , yr hwn a ymðiðanoð wrthaw ym‐monyð Sina , ac wrth ein taðae , yr hwn a ðerbyniawdd y gairie bywiol i roddi y nyni :
44:7:039:0	i ba vn ny vynnai ein tadae vfyddhay , anid ymwrthðot , ac yn ei calonae ymchwelyt drachefn ir Aipht ,
44:7:040:0	gan ðywedyt wrth Aaron , Gwna i ni Ddewiae a a’n racvlaenant : can na wyddam beth ddarvu ir Moysen yma yr hwn an duc o dir yr Aipht .
44:7:041:0	A’ lloa wnaethant yn y dyddiae hyny , ac a offrymesont aberth ir ðelw a’ llawenhay a wnaethant yn‐gweithredoedd ei dwylaw y hunain .
44:7:042:0	Yno ydd ymchwelawdd Dew ymaith , ac y rhoes hwy i vynydd y n yd addolent i lu yr nef : megis y mae yn escriuenedic yn llyfer y Prophwyti . A Tuy yr Israel , a offrymesoch ymy aniueilieit wedy ei lladd ac aberthae dros , ddauugain blynedd yn y dyffeith ?
44:7:043:0	A’ chvvi gymeresoch y chvvy tabernacl Moloch , a’ seren eich Dew Rempham , ys ef , lluniae , ’rei a wnaethoch y aðoly yddwynt : am hyny ydd eich ysmutaf y tu hwnt i’r Babilou .
44:7:044:0	I ein tadae ydd oeð tabernacl y testoliaeth yn y diffaithvvch , mal ydd ordinesei ef , yn llavaru wrth Moysen , ar vod iddaw ei wneithyd yn ol y ffurf a welsei .
44:7:045:0	Ys yr hwn tabernacl a gymerth ein tadae ac ei ducesont y mewn y gyd ac Iesu i berchenogaeth y Cenetloedd , yr ei a ddyrrawdd Dew ymaith rac wynep ein tadae , yd dyddiae Dauid :
44:7:046:0	yr hwn a gavas gariat geyr bron Dew , ac a archawdd gahel o honaw dabernacl i Ddew Iaco .
44:7:047:0	Eithyr Selef a adailadawdd duy yddaw .
44:7:048:0	Cyd na bo y Goruthaf yn trigiaw mewn Templ o waith dwylaw , megis y dywait y Prophwyt ,
44:7:049:0	Y nef yvv vy eisteddle , a’r ddaear yvv lleithic vy‐traet : pa duy a adeiliadwch i mi medd yr Arglwydd ? A’i pa ryvv le vyddei vy‐gorffwyffa ?
44:7:050:0	Anid vy llaw i a wnaeth hynn yma y gyd oll ?
44:7:051:0	chvvi warhydr ac o galon a’ chlustiae ddianwaediat , chwi yn oystat a wrthladdesoch yr Yspryt glan : mal y gvvnai eich tadae , velly y gvvnevvch chwitheu .
44:7:052:0	Pwy n o’r Prophwyti nid ymlidient eich tadae chwi ? ac eu lladdasant , yr ei oedd yn ragvenegy o ddyvodiat y Cyfiawn hwnw , i ba vn y buo‐chwi yr awrhon yn vradwyr ac yn llawryddion ,
44:7:053:0	yr ei adderbyniesoch y Ddeddyf trwy ordinat Angelon , ac yr ny’s cadwesoch .
44:7:054:0	Eithyr pan glywsant y pethae hynn , y rhwygawdd ei calonae-gan‐ddicter , ac escyrnegesont ddanedd arnaw . Yr Epistol ar ddiegwyl Stephan .
44:7:055:0	Ac efe yn gyflawn or Yspryt glan , a edrychodd‐yn ddyval ir nef , ac a welawdd ’ogogiant Dew , ac Iesu yn sefyll ar ddehaulaw Dew .
44:7:056:0	Ac ef a ddywedawdd , Nachaf y gwelaf y nefoedd yn agored , a’ Map y dyn yn sefyll ar ddehaulaw Dew .
44:7:057:0	Yno y gwaeðesont vvytheu a llef vawr , ac y caeesont ei clustiae , ac y rhuthresont iddaw o vnvryd .
44:7:058:0	Ac y bwriesont ef allan o’r dinas , ac ei llapyddiesent . A’r testion a ddodesont ei dillat wrth draet y gvvas‐ieuanc , y elwit Saul .
44:7:059:0	Ac vvy a lapyddiesont Stephan , ac ef yn galw ar Ddew , ac yn dywedyt , Yr Arglwyð Iesu , derbyn vy yspryt .
44:7:060:0	Ac ef a estyngawdd ar ei liniae , ac a lefawdd a llef vchel , Arglwydd , na ddod y pechat hyn yn ei herbyn hvvy . Ac gwedy yddaw ddywedyt hyn , yr hunawdd ef .
