36:3:001:1	Jerúsalem dine'é ádił da'asiih índa béédahididoochił
36:3:011:0	Éí bijį́įdi baa nidasoohkaii shich'į' ádił nidaałteehgo ádił nida'iyoołzí'ígíí t'áá ałtso doo nihił baa yádahasin da doo , háálá nihiníí'dóó bee ádaa dadzíínóhdlíii nahjį' kódeeshłííł , áádóó shidził diyinii biniinaa t'áadoo ła' ádaa hodzódlíigo aghá'ádooł'áhí da dooleeł .
36:3:012:0	Nihiníi'jį' diné a'ohgo ádaa nitsídaakeesii áádóó hojooba' ádaat'éii bi'deeshnihgo Bóhólníihii bízhi' yaa dadzólíi dooleeł ,
36:3:013:0	Ízrel dine'é daadzí'ígíí doo ádił nida'iilzíih da doo , doodaii' doo dabiyooch'íid da doo ; doo nidi binda'adlo'go yádaałti' da doo , háálá bida'iilzą́ą doo áádóó nídanjah dooleeł , áko doo ła'da bił yéé' áhodoolíił da .
36:3:014:0	Záíyan bitsi' nílíinii , ayóó íits'a'go hótaał ! Ízrel dine'é nohłíinii , hadadołgháásh ! Jerúsalem bitsi' nílíinii , nijéí t'áá át'é bee nił nihoozhǫǫhgo nił hózhǫ́ǫ le' .
36:3:015:0	Bóhólníihii éí nánihoot'áanii nahjį' kóyiilaa ; nida'ana'í baa ch'íheezhjéé' . Ízrel dine'é aláahgo binanit'a'í éí Bóhólníihii nilíinii nihiníí'góó hólǫ́ . Doo yá'ádaat'éehii doo nik'i nááhwiidoodleeł da .
36:3:016:0	Éí bijį́įdi Jerúsalem kóbidi'doo'niił , T'áadoo nił yé'í , Záíyan nílíinii , nigaan t'áadoo t'óó nąąh nahíínilí .
36:3:017:0	Bóhólníihii nihiDiyin God éí nihitahgi ayóó ábóodziilii nilį́ ; bí yisdá'iiníił doo , t'áá íiyisí naa bił hózhǫ́ǫgo naa bił nihoozhǫǫh doo ; bibee ayóó'ó'ó'níinii bee bił hodéezyéel dooleeł ; naa bił hózhǫ́ǫgo hataał doo .
36:3:018:0	Záíyan bits'ą́ą́dóó danilíinii hodílzingo áłah ná'ádleeh nídeit'aahii yídin danilį́įgo bá nidahat'i' yik'ee yínííł danilíinii áłah ádeeshłííł ; éí ánahat'i' bił yáádayiitsih .
36:3:019:0	Éí hoolzhishdi nich'į' nidahwiiłnáanii t'áá ałtso baa nídéesht'įįł , jó'akon . Áádóó dadí'néesxodígíí yisdádeesh'nił , áko ch'ídabidi'niiskaadii áłah áńdeeshdlííł ; kédaayahgóó t'óó baa yáhásingo ádabi'dil'íinii baa daha'niihgo áádóó ch'ídabidit'áahgo ádeeshłííł .
36:3:020:0	Éí hoolzhishdi nánihideesh'ishgo áłah ánánihideeshdlííł . T'áá aaníí , nihokáá' dine'é t'áá ałtso bitahgóó néého'dílzingo áádóó naa ha'niihgo yisnááh danohłíinii nihinááł nahjį' kódeeshłíiłgo danihíí' nít'éé' yę́ę nihíí' nídadoodleełgo ádeeshłííł , ní Bóhólníihii .
